FeatureCode,DateCode,Measurement,Units,Value
S08000019,2019,Count,People,321390
S08000019,2007,Count,People,305466
S08000019,2017,Count,People,319774
S08000019,2013,Count,People,311937
S08000019,2014,Count,People,313862
S08000019,2009,Count,People,308261
S08000020,2008,Count,People,565815
S08000020,2018,Count,People,597542
S08000020,2015,Count,People,595804
S08000020,2012,Count,People,581198
S08000020,2010,Count,People,573616
S08000020,2011,Count,People,576295
S08000020,2019,Count,People,598577
S08000020,2009,Count,People,570526
S08000020,2013,Count,People,585615
S08000020,2014,Count,People,592595
S08000020,2016,Count,People,595927
S08000020,2017,Count,People,596531
S08000020,2007,Count,People,562815
S08000022,2016,Count,People,326698
S08000022,2010,Count,People,322651
S08000022,2018,Count,People,329167
S08000022,2011,Count,People,322972
S08000022,2007,Count,People,319000
S08000022,2012,Count,People,323061
S08000022,2013,Count,People,323524
S08000022,2017,Count,People,327832
S08000022,2008,Count,People,321746
S08000022,2019,Count,People,330095
S08000022,2009,Count,People,321998
S08000022,2014,Count,People,324107
S08000022,2015,Count,People,325237
S08000024,2007,Count,People,859145
S08000024,2015,Count,People,920562
S08000024,2014,Count,People,911934
S08000024,2011,Count,People,885930
S08000024,2016,Count,People,931486
S08000024,2017,Count,People,943826
S08000024,2013,Count,People,903155
S08000024,2019,Count,People,970535
S08000024,2008,Count,People,864066
S08000024,2009,Count,People,874352
S08000024,2012,Count,People,894502
S08000024,2018,Count,People,957638
S08000024,2010,Count,People,881658
S08000025,2019,Count,People,21837
S08000025,2018,Count,People,21711
S08000025,2008,Count,People,20306
S08000025,2013,Count,People,20952
S08000025,2016,Count,People,21268
S08000025,2011,Count,People,20618
S08000025,2007,Count,People,20242
S08000025,2014,Count,People,21020
S08000025,2015,Count,People,21112
S08000025,2012,Count,People,20808
S08000025,2009,Count,People,20390
S08000025,2017,Count,People,21476
S08000025,2010,Count,People,20611
S08000026,2016,Count,People,23062
S08000026,2008,Count,People,22281
S08000026,2009,Count,People,22621
S08000026,2018,Count,People,22958
S08000026,2014,Count,People,22982
S08000026,2010,Count,People,22764
S08000026,2017,Count,People,22973
S08000026,2015,Count,People,23045
S08000026,2011,Count,People,22808
S08000026,2019,Count,People,22982
S08000026,2013,Count,People,22886
S08000026,2007,Count,People,22241
S08000026,2012,Count,People,22841
S08000028,2019,Count,People,26889
S08000028,2009,Count,People,27554
S08000028,2014,Count,People,27099
S08000028,2017,Count,People,26961
S08000028,2013,Count,People,27204
S08000028,2008,Count,People,27654
S08000028,2007,Count,People,27696
S08000028,2011,Count,People,27376
S08000028,2018,Count,People,26941
S08000028,2016,Count,People,26836
S08000028,2010,Count,People,27485
S08000028,2012,Count,People,27284
S08000028,2015,Count,People,26967
S12000047,2018,Count,People,383709
S12000047,2016,Count,People,381238
S12000047,2011,Count,People,376673
S12000047,2013,Count,People,378147
S12000047,2009,Count,People,373964
S12000047,2012,Count,People,377042
S12000047,2015,Count,People,379903
S12000047,2014,Count,People,379214
S12000047,2008,Count,People,372984
S12000047,2017,Count,People,382294
S12000047,2007,Count,People,369414
S12000047,2010,Count,People,375574
S12000047,2019,Count,People,385734
S12000048,2012,Count,People,144140
S12000048,2014,Count,People,145439
S12000048,2007,Count,People,140049
S12000048,2008,Count,People,141041
S12000048,2011,Count,People,143781
S12000048,2013,Count,People,144292
S12000048,2017,Count,People,147134
S12000048,2016,Count,People,146308
S12000048,2009,Count,People,142097
S12000048,2015,Count,People,145630
S12000048,2019,Count,People,149095
S12000048,2010,Count,People,143026
S12000048,2018,Count,People,147946
S08000029,2014,Count,People,379214
S08000029,2010,Count,People,375574
S08000029,2011,Count,People,376673
S08000029,2009,Count,People,373964
S08000029,2019,Count,People,385734
S08000029,2015,Count,People,379903
S08000029,2017,Count,People,382294
S08000029,2007,Count,People,369414
S08000029,2018,Count,People,383709
S08000029,2012,Count,People,377042
S08000029,2013,Count,People,378147
S08000029,2008,Count,People,372984
S08000029,2016,Count,People,381238
S08000030,2019,Count,People,431155
S08000030,2007,Count,People,414378
S08000030,2011,Count,People,421857
S08000030,2008,Count,People,415918
S08000030,2009,Count,People,418458
S08000030,2014,Count,People,424528
S08000030,2012,Count,People,422217
S08000030,2016,Count,People,426190
S08000030,2015,Count,People,425214
S08000030,2010,Count,People,419396
S08000030,2018,Count,People,429253
S08000030,2013,Count,People,421616
S08000030,2017,Count,People,427704
S08000031,2009,Count,People,1232446
S08000031,2008,Count,People,1231117
S08000031,2011,Count,People,1236598
S08000031,2010,Count,People,1237889
S08000031,2017,Count,People,1289698
S08000031,2019,Count,People,1313332
S08000031,2007,Count,People,1223185
S08000031,2016,Count,People,1278145
S08000031,2015,Count,People,1263017
S08000031,2018,Count,People,1300105
S08000031,2013,Count,People,1245706
S08000031,2012,Count,People,1242271
S08000031,2014,Count,People,1253463
S08000032,2011,Count,People,669064
S08000032,2012,Count,People,669634
S08000032,2009,Count,People,666807
S08000032,2010,Count,People,668683
S08000032,2015,Count,People,674784
S08000032,2016,Count,People,678306
S08000032,2013,Count,People,670596
S08000032,2014,Count,People,672307
S08000032,2017,Count,People,681418
S08000032,2007,Count,People,662407
S08000032,2018,Count,People,684116
S08000032,2008,Count,People,665074
S08000032,2019,Count,People,687820
S12000049,2013,Count,People,684128
S12000049,2014,Count,People,690309
S12000049,2011,Count,People,675047
S12000049,2012,Count,People,680493
S12000049,2015,Count,People,698108
S12000049,2018,Count,People,725081
S12000049,2016,Count,People,709348
S12000049,2017,Count,People,717255
S12000049,2007,Count,People,661319
S12000049,2019,Count,People,735206
S12000049,2009,Count,People,670189
S12000049,2010,Count,People,675073
S12000049,2008,Count,People,668157
S12000050,2019,Count,People,350567
S12000050,2012,Count,People,345114
S12000050,2013,Count,People,344934
S12000050,2011,Count,People,345251
S12000050,2015,Count,People,346065
S12000050,2016,Count,People,347884
S12000050,2014,Count,People,345353
S12000050,2018,Count,People,349535
S12000050,2007,Count,People,342727
S12000050,2017,Count,People,348911
S12000050,2009,Count,People,345435
S12000050,2010,Count,People,345403
S12000050,2008,Count,People,344309
