area_code,reference_area,area_type,year,value,units
S12000013,Na h-Eileanan Siar,Local Authority,2010,27485,People
S12000013,Na h-Eileanan Siar,Local Authority,2007,27696,People
S12000013,Na h-Eileanan Siar,Local Authority,2009,27554,People
S12000013,Na h-Eileanan Siar,Local Authority,2017,26961,People
S12000014,Falkirk,Local Authority,2008,154544,People
S12000014,Falkirk,Local Authority,2011,157040,People
S12000014,Falkirk,Local Authority,2010,156032,People
S12000014,Falkirk,Local Authority,2016,161165,People
S12000014,Falkirk,Local Authority,2013,158272,People
S12000014,Falkirk,Local Authority,2017,162245,People
S12000014,Falkirk,Local Authority,2007,153506,People
S12000014,Falkirk,Local Authority,2019,163322,People
S12000014,Falkirk,Local Authority,2018,162767,People
S12000014,Falkirk,Local Authority,2015,160288,People
S12000014,Falkirk,Local Authority,2009,155259,People
S12000014,Falkirk,Local Authority,2014,158999,People
S12000014,Falkirk,Local Authority,2012,157577,People
S12000017,Highland,Local Authority,2012,234315,People
S12000017,Highland,Local Authority,2016,238085,People
S12000017,Highland,Local Authority,2013,234855,People
S12000017,Highland,Local Authority,2019,241396,People
S12000017,Highland,Local Authority,2017,238985,People
S12000017,Highland,Local Authority,2014,235467,People
S12000017,Highland,Local Authority,2015,236901,People
S12000017,Highland,Local Authority,2007,229177,People
S12000017,Highland,Local Authority,2009,232621,People
S12000017,Highland,Local Authority,2011,233991,People
S12000017,Highland,Local Authority,2010,233461,People
S12000017,Highland,Local Authority,2008,232026,People
S12000017,Highland,Local Authority,2018,240473,People
S12000018,Inverclyde,Local Authority,2010,85322,People
S12000018,Inverclyde,Local Authority,2012,83807,People
S12000018,Inverclyde,Local Authority,2009,85898,People
S12000018,Inverclyde,Local Authority,2007,86898,People
S12000018,Inverclyde,Local Authority,2016,82025,People
S12000018,Inverclyde,Local Authority,2019,80599,People
S12000018,Inverclyde,Local Authority,2014,82685,People
S12000018,Inverclyde,Local Authority,2011,84474,People
S12000018,Inverclyde,Local Authority,2018,81079,People
S12000018,Inverclyde,Local Authority,2017,81504,People
S12000018,Inverclyde,Local Authority,2015,82293,People
S12000018,Inverclyde,Local Authority,2013,83180,People
S12000018,Inverclyde,Local Authority,2008,86634,People
S12000019,Midlothian,Local Authority,2012,87609,People
S12000019,Midlothian,Local Authority,2015,91024,People
S12000019,Midlothian,Local Authority,2016,92482,People
S12000019,Midlothian,Local Authority,2010,86132,People
S12000019,Midlothian,Local Authority,2011,86594,People
S12000019,Midlothian,Local Authority,2013,88402,People
S12000019,Midlothian,Local Authority,2018,95924,People
S12000019,Midlothian,Local Authority,2014,89755,People
S12000019,Midlothian,Local Authority,2007,84392,People
S12000019,Midlothian,Local Authority,2019,97458,People
S12000019,Midlothian,Local Authority,2009,85733,People
S12000019,Midlothian,Local Authority,2017,94251,People
S12000019,Midlothian,Local Authority,2008,84982,People
S12000020,Moray,Local Authority,2018,93418,People
S12000020,Moray,Local Authority,2010,89480,People
S12000020,Moray,Local Authority,2016,92571,People
S12000020,Moray,Local Authority,2019,93803,People
S12000020,Moray,Local Authority,2007,88223,People
S12000020,Moray,Local Authority,2014,91780,People
S12000020,Moray,Local Authority,2017,92998,People
S12000020,Moray,Local Authority,2008,88745,People
S12000020,Moray,Local Authority,2013,90871,People
S12000020,Moray,Local Authority,2009,89364,People
S12000020,Moray,Local Authority,2011,89555,People
S12000020,Moray,Local Authority,2012,90047,People
S12000020,Moray,Local Authority,2015,92247,People
S12000021,North Ayrshire,Local Authority,2011,141455,People
S12000021,North Ayrshire,Local Authority,2012,140950,People
S12000021,North Ayrshire,Local Authority,2008,142443,People
S12000021,North Ayrshire,Local Authority,2017,139770,People
S12000021,North Ayrshire,Local Authority,2018,139493,People
S12000021,North Ayrshire,Local Authority,2013,140399,People
S12000021,North Ayrshire,Local Authority,2014,139960,People
S12000021,North Ayrshire,Local Authority,2007,142211,People
S12000021,North Ayrshire,Local Authority,2015,139671,People
S12000021,North Ayrshire,Local Authority,2019,139187,People
S12000021,North Ayrshire,Local Authority,2016,139647,People
S12000021,North Ayrshire,Local Authority,2010,141566,People
S12000021,North Ayrshire,Local Authority,2009,141817,People
S12000023,Orkney Islands,Local Authority,2011,20618,People
S12000023,Orkney Islands,Local Authority,2018,21711,People
S12000023,Orkney Islands,Local Authority,2015,21112,People
S12000023,Orkney Islands,Local Authority,2016,21268,People
S12000023,Orkney Islands,Local Authority,2017,21476,People
S12000023,Orkney Islands,Local Authority,2019,21837,People
S12000023,Orkney Islands,Local Authority,2013,20952,People
S12000023,Orkney Islands,Local Authority,2009,20390,People
S12000023,Orkney Islands,Local Authority,2008,20306,People
S12000023,Orkney Islands,Local Authority,2010,20611,People
S12000023,Orkney Islands,Local Authority,2012,20808,People
S12000023,Orkney Islands,Local Authority,2014,21020,People
S12000023,Orkney Islands,Local Authority,2007,20242,People
S12000026,Scottish Borders,Local Authority,2010,116288,People
S12000026,Scottish Borders,Local Authority,2019,119494,People
S12000026,Scottish Borders,Local Authority,2007,114678,People
S12000026,Scottish Borders,Local Authority,2011,116168,People
S12000026,Scottish Borders,Local Authority,2017,118318,People
S12000026,Scottish Borders,Local Authority,2008,115829,People
S12000026,Scottish Borders,Local Authority,2018,118921,People
S12000026,Scottish Borders,Local Authority,2009,116227,People
S12000026,Scottish Borders,Local Authority,2015,116760,People
S12000026,Scottish Borders,Local Authority,2013,116633,People
