area_code,reference_area,area_type,ref_period,measure_type,value,units
S12000033,Aberdeen City,Local Authority,2013-2014,EASR,792.1,
S12000033,Aberdeen City,Local Authority,2014-2015,EASR,721.5,
S12000033,Aberdeen City,Local Authority,2015-2016,EASR,758.4,
S12000033,Aberdeen City,Local Authority,2016-2017,EASR,705,
S12000034,Aberdeenshire,Local Authority,2016-2017,Count,833,Persons
S12000034,Aberdeenshire,Local Authority,1997-1998,EASR,342.4,
S12000034,Aberdeenshire,Local Authority,1998-1999,EASR,322.9,
S12000034,Aberdeenshire,Local Authority,1999-2000,EASR,387.9,
S12000034,Aberdeenshire,Local Authority,2000-2001,EASR,335.6,
S12000034,Aberdeenshire,Local Authority,2001-2002,EASR,321.2,
S12000034,Aberdeenshire,Local Authority,2002-2003,EASR,368.9,
S12000034,Aberdeenshire,Local Authority,2003-2004,EASR,404.2,
S12000034,Aberdeenshire,Local Authority,2004-2005,EASR,386.6,
S12000034,Aberdeenshire,Local Authority,2005-2006,EASR,424.6,
S12000034,Aberdeenshire,Local Authority,2006-2007,EASR,423.8,
S12000034,Aberdeenshire,Local Authority,2007-2008,EASR,437.3,
S12000034,Aberdeenshire,Local Authority,2008-2009,EASR,431.6,
S12000034,Aberdeenshire,Local Authority,2009-2010,EASR,414.6,
S12000034,Aberdeenshire,Local Authority,2010-2011,EASR,402.2,
S12000034,Aberdeenshire,Local Authority,2011-2012,EASR,386.8,
S12000034,Aberdeenshire,Local Authority,2012-2013,EASR,322,
S12000034,Aberdeenshire,Local Authority,2013-2014,EASR,362.8,
S12000034,Aberdeenshire,Local Authority,2014-2015,EASR,302.3,
S12000034,Aberdeenshire,Local Authority,2015-2016,EASR,281.7,
S12000034,Aberdeenshire,Local Authority,2016-2017,EASR,318,
S12000035,Argyll and Bute,Local Authority,2016-2017,Count,602,Persons
S12000035,Argyll and Bute,Local Authority,1997-1998,EASR,755.6,
S12000035,Argyll and Bute,Local Authority,1998-1999,EASR,774.9,
S12000035,Argyll and Bute,Local Authority,1999-2000,EASR,890.1,
S12000035,Argyll and Bute,Local Authority,2000-2001,EASR,924.7,
S12000035,Argyll and Bute,Local Authority,2001-2002,EASR,810.6,
S12000035,Argyll and Bute,Local Authority,2002-2003,EASR,843.9,
S12000035,Argyll and Bute,Local Authority,2003-2004,EASR,729,
S12000035,Argyll and Bute,Local Authority,2004-2005,EASR,846.3,
S12000035,Argyll and Bute,Local Authority,2005-2006,EASR,828,
S12000035,Argyll and Bute,Local Authority,2006-2007,EASR,855.6,
S12000035,Argyll and Bute,Local Authority,2007-2008,EASR,1044.3,
S12000035,Argyll and Bute,Local Authority,2008-2009,EASR,970,
S12000035,Argyll and Bute,Local Authority,2009-2010,EASR,928.4,
S12000035,Argyll and Bute,Local Authority,2010-2011,EASR,888.7,
S12000035,Argyll and Bute,Local Authority,2011-2012,EASR,868.4,
S12000035,Argyll and Bute,Local Authority,2012-2013,EASR,686.4,
S12000035,Argyll and Bute,Local Authority,2013-2014,EASR,666.3,
S12000035,Argyll and Bute,Local Authority,2014-2015,EASR,761.9,
S12000035,Argyll and Bute,Local Authority,2015-2016,EASR,667.2,
S12000035,Argyll and Bute,Local Authority,2016-2017,EASR,673.7,
S12000036,City of Edinburgh,Local Authority,2016-2017,Count,2512,Persons
S12000036,City of Edinburgh,Local Authority,1997-1998,EASR,736.3,
S12000036,City of Edinburgh,Local Authority,1998-1999,EASR,754.2,
S12000036,City of Edinburgh,Local Authority,1999-2000,EASR,715.1,
S12000036,City of Edinburgh,Local Authority,2000-2001,EASR,697.1,
S12000036,City of Edinburgh,Local Authority,2001-2002,EASR,758.8,
S12000036,City of Edinburgh,Local Authority,2002-2003,EASR,706.8,
S12000036,City of Edinburgh,Local Authority,2003-2004,EASR,681.2,
S12000036,City of Edinburgh,Local Authority,2004-2005,EASR,707.5,
S12000036,City of Edinburgh,Local Authority,2005-2006,EASR,720.4,
S12000036,City of Edinburgh,Local Authority,2006-2007,EASR,780.6,
S12000036,City of Edinburgh,Local Authority,2007-2008,EASR,885.2,
S12000036,City of Edinburgh,Local Authority,2008-2009,EASR,801.2,
S12000036,City of Edinburgh,Local Authority,2009-2010,EASR,686,
S12000036,City of Edinburgh,Local Authority,2010-2011,EASR,696.9,
S12000036,City of Edinburgh,Local Authority,2011-2012,EASR,691.6,
S12000036,City of Edinburgh,Local Authority,2012-2013,EASR,657.7,
S12000036,City of Edinburgh,Local Authority,2013-2014,EASR,661.2,
S12000036,City of Edinburgh,Local Authority,2014-2015,EASR,633,
S12000036,City of Edinburgh,Local Authority,2015-2016,EASR,582.8,
S12000036,City of Edinburgh,Local Authority,2016-2017,EASR,549.4,
S12000038,Renfrewshire,Local Authority,2016-2017,Count,1634,Persons
S12000038,Renfrewshire,Local Authority,1997-1998,EASR,725.2,
S12000038,Renfrewshire,Local Authority,1998-1999,EASR,770.5,
S12000038,Renfrewshire,Local Authority,1999-2000,EASR,844.5,
S12000038,Renfrewshire,Local Authority,2000-2001,EASR,760.5,
S12000038,Renfrewshire,Local Authority,2001-2002,EASR,736,
S12000038,Renfrewshire,Local Authority,2002-2003,EASR,810.1,
S12000038,Renfrewshire,Local Authority,2003-2004,EASR,786.7,
S12000038,Renfrewshire,Local Authority,2004-2005,EASR,977.1,
S12000038,Renfrewshire,Local Authority,2005-2006,EASR,808.7,
S12000038,Renfrewshire,Local Authority,2006-2007,EASR,946.9,
S12000038,Renfrewshire,Local Authority,2007-2008,EASR,966.5,
S12000038,Renfrewshire,Local Authority,2008-2009,EASR,927.3,
S12000038,Renfrewshire,Local Authority,2009-2010,EASR,911,
S12000038,Renfrewshire,Local Authority,2010-2011,EASR,929.4,
S12000038,Renfrewshire,Local Authority,2011-2012,EASR,958.6,
S12000038,Renfrewshire,Local Authority,2012-2013,EASR,954.5,
S12000038,Renfrewshire,Local Authority,2013-2014,EASR,1018,
S12000038,Renfrewshire,Local Authority,2014-2015,EASR,980.9,
S12000038,Renfrewshire,Local Authority,2015-2016,EASR,945.7,
S12000038,Renfrewshire,Local Authority,2016-2017,EASR,944.6,
S12000039,West Dunbartonshire,Local Authority,2016-2017,Count,946,Persons
S12000039,West Dunbartonshire,Local Authority,1997-1998,EASR,606.6,
S12000039,West Dunbartonshire,Local Authority,1998-1999,EASR,695.8,
S12000039,West Dunbartonshire,Local Authority,1999-2000,EASR,873.9,
S12000039,West Dunbartonshire,Local Authority,2000-2001,EASR,877,
S12000039,West Dunbartonshire,Local Authority,2001-2002,EASR,811.8,
S12000039,West Dunbartonshire,Local Authority,2002-2003,EASR,968.7,
S12000039,West Dunbartonshire,Local Authority,2003-2004,EASR,952.4,
S12000039,West Dunbartonshire,Local Authority,2004-2005,EASR,1032.1,
S12000039,West Dunbartonshire,Local Authority,2005-2006,EASR,940.9,
S12000039,West Dunbartonshire,Local Authority,2006-2007,EASR,851.7,
S12000039,West Dunbartonshire,Local Authority,2007-2008,EASR,1099.2,
S12000039,West Dunbartonshire,Local Authority,2008-2009,EASR,1185.2,
S12000039,West Dunbartonshire,Local Authority,2009-2010,EASR,1176.2,
S12000039,West Dunbartonshire,Local Authority,2010-2011,EASR,1246.9,
S12000039,West Dunbartonshire,Local Authority,2011-2012,EASR,1028.5,
S12000039,West Dunbartonshire,Local Authority,2012-2013,EASR,911.9,
S12000039,West Dunbartonshire,Local Authority,2013-2014,EASR,978.3,
S12000039,West Dunbartonshire,Local Authority,2014-2015,EASR,948.4,
S12000039,West Dunbartonshire,Local Authority,2015-2016,EASR,1054.3,
S12000039,West Dunbartonshire,Local Authority,2016-2017,EASR,1085,
S12000040,West Lothian,Local Authority,2016-2017,Count,1134,Persons
S12000040,West Lothian,Local Authority,1997-1998,EASR,535.8,
S12000040,West Lothian,Local Authority,1998-1999,EASR,503.9,
S12000040,West Lothian,Local Authority,1999-2000,EASR,494.6,
S12000040,West Lothian,Local Authority,2000-2001,EASR,521,
S12000040,West Lothian,Local Authority,2001-2002,EASR,577.9,
S12000040,West Lothian,Local Authority,2002-2003,EASR,595.4,
S12000040,West Lothian,Local Authority,2003-2004,EASR,605.2,
S12000040,West Lothian,Local Authority,2004-2005,EASR,569,
S12000040,West Lothian,Local Authority,2005-2006,EASR,616,
S12000040,West Lothian,Local Authority,2006-2007,EASR,772.7,
S12000040,West Lothian,Local Authority,2007-2008,EASR,841.4,
S12000040,West Lothian,Local Authority,2008-2009,EASR,765.9,
S12000040,West Lothian,Local Authority,2009-2010,EASR,673.2,
S12000040,West Lothian,Local Authority,2010-2011,EASR,723.3,
S12000040,West Lothian,Local Authority,2011-2012,EASR,769.5,
S12000040,West Lothian,Local Authority,2012-2013,EASR,736.7,
S12000040,West Lothian,Local Authority,2013-2014,EASR,641.1,
S12000040,West Lothian,Local Authority,2014-2015,EASR,643.9,
S12000040,West Lothian,Local Authority,2015-2016,EASR,646.1,
S12000040,West Lothian,Local Authority,2016-2017,EASR,656,
S12000041,Angus,Local Authority,2016-2017,Count,436,Persons
S12000041,Angus,Local Authority,1997-1998,EASR,332.8,
S12000041,Angus,Local Authority,1998-1999,EASR,327.9,
S12000041,Angus,Local Authority,1999-2000,EASR,369.2,
S12000041,Angus,Local Authority,2000-2001,EASR,366.8,
S12000041,Angus,Local Authority,2001-2002,EASR,376.7,
S12000041,Angus,Local Authority,2002-2003,EASR,361.4,
S12000041,Angus,Local Authority,2003-2004,EASR,346.9,
S12000041,Angus,Local Authority,2004-2005,EASR,377.7,
S12000041,Angus,Local Authority,2005-2006,EASR,406.4,
S12000041,Angus,Local Authority,2006-2007,EASR,334.9,
S12000041,Angus,Local Authority,2007-2008,EASR,320.3,
S12000041,Angus,Local Authority,2008-2009,EASR,356.1,
S12000041,Angus,Local Authority,2009-2010,EASR,378.7,
S12000041,Angus,Local Authority,2010-2011,EASR,408.1,
S12000041,Angus,Local Authority,2011-2012,EASR,374.7,
S12000041,Angus,Local Authority,2012-2013,EASR,370.1,
S12000041,Angus,Local Authority,2013-2014,EASR,381.7,
S12000041,Angus,Local Authority,2014-2015,EASR,365,
S12000041,Angus,Local Authority,2015-2016,EASR,372,
S12000041,Angus,Local Authority,2016-2017,EASR,365.4,
S12000042,Dundee City,Local Authority,2016-2017,Count,870,Persons
S12000042,Dundee City,Local Authority,1997-1998,EASR,566,
S12000042,Dundee City,Local Authority,1998-1999,EASR,583.7,
S12000042,Dundee City,Local Authority,1999-2000,EASR,744.4,
S12000042,Dundee City,Local Authority,2000-2001,EASR,715.9,
S12000042,Dundee City,Local Authority,2001-2002,EASR,697.3,
S12000042,Dundee City,Local Authority,2002-2003,EASR,673.5,
S12000042,Dundee City,Local Authority,2003-2004,EASR,751.3,
S12000042,Dundee City,Local Authority,2004-2005,EASR,722.1,
S12000042,Dundee City,Local Authority,2005-2006,EASR,745.6,
S12000042,Dundee City,Local Authority,2006-2007,EASR,732.1,
S12000042,Dundee City,Local Authority,2007-2008,EASR,704.5,
S12000042,Dundee City,Local Authority,2008-2009,EASR,830.7,
S12000042,Dundee City,Local Authority,2009-2010,EASR,718.8,
S12000042,Dundee City,Local Authority,2010-2011,EASR,784,
S12000042,Dundee City,Local Authority,2011-2012,EASR,654.4,
S12000042,Dundee City,Local Authority,2012-2013,EASR,676.2,
S12000042,Dundee City,Local Authority,2013-2014,EASR,756.6,
S12000042,Dundee City,Local Authority,2014-2015,EASR,776.9,
S12000042,Dundee City,Local Authority,2015-2016,EASR,673.3,
S12000042,Dundee City,Local Authority,2016-2017,EASR,657.7,
S12000045,East Dunbartonshire,Local Authority,2016-2017,Count,555,Persons
S12000045,East Dunbartonshire,Local Authority,1997-1998,EASR,341,
S12000045,East Dunbartonshire,Local Authority,1998-1999,EASR,405.7,
S12000045,East Dunbartonshire,Local Authority,1999-2000,EASR,430.9,
S12000045,East Dunbartonshire,Local Authority,2000-2001,EASR,397.1,
S12000045,East Dunbartonshire,Local Authority,2001-2002,EASR,358.5,
S12000045,East Dunbartonshire,Local Authority,2002-2003,EASR,359,
S12000045,East Dunbartonshire,Local Authority,2003-2004,EASR,349.1,
S12000045,East Dunbartonshire,Local Authority,2004-2005,EASR,382.3,
S12000045,East Dunbartonshire,Local Authority,2005-2006,EASR,355.6,
S12000045,East Dunbartonshire,Local Authority,2006-2007,EASR,425,
S12000045,East Dunbartonshire,Local Authority,2007-2008,EASR,431.6,
S12000045,East Dunbartonshire,Local Authority,2008-2009,EASR,400,
S12000045,East Dunbartonshire,Local Authority,2009-2010,EASR,437.9,
S12000045,East Dunbartonshire,Local Authority,2010-2011,EASR,404.4,
S12000045,East Dunbartonshire,Local Authority,2011-2012,EASR,412.5,
S12000045,East Dunbartonshire,Local Authority,2012-2013,EASR,370.3,
S12000045,East Dunbartonshire,Local Authority,2013-2014,EASR,435,
S12000045,East Dunbartonshire,Local Authority,2014-2015,EASR,443.8,
S12000045,East Dunbartonshire,Local Authority,2015-2016,EASR,460.4,
S12000045,East Dunbartonshire,Local Authority,2016-2017,EASR,530.3,
S12000047,Fife,Local Authority,2016-2017,Count,2341,Persons
S12000048,Perth and Kinross,Local Authority,2016-2017,Count,596,Persons
S12000047,Fife,Local Authority,1997-1998,EASR,492.5,
S12000047,Fife,Local Authority,1998-1999,EASR,446.2,
S12000047,Fife,Local Authority,1999-2000,EASR,508.6,
S12000047,Fife,Local Authority,2000-2001,EASR,515.3,
S12000047,Fife,Local Authority,2001-2002,EASR,513.5,
S12000047,Fife,Local Authority,2002-2003,EASR,501.9,
S12000047,Fife,Local Authority,2003-2004,EASR,464.1,
S12000047,Fife,Local Authority,2004-2005,EASR,568.6,
S12000047,Fife,Local Authority,2005-2006,EASR,579.5,
S12000047,Fife,Local Authority,2006-2007,EASR,633.7,
S12000047,Fife,Local Authority,2007-2008,EASR,652,
S12000047,Fife,Local Authority,2008-2009,EASR,640.4,
S12000047,Fife,Local Authority,2009-2010,EASR,640.3,
S12000047,Fife,Local Authority,2010-2011,EASR,613.6,
S12000047,Fife,Local Authority,2011-2012,EASR,554.3,
S12000047,Fife,Local Authority,2012-2013,EASR,628.3,
S12000047,Fife,Local Authority,2013-2014,EASR,637,
S12000047,Fife,Local Authority,2014-2015,EASR,630,
S12000047,Fife,Local Authority,2015-2016,EASR,609.3,
S12000047,Fife,Local Authority,2016-2017,EASR,640.4,
S12000048,Perth and Kinross,Local Authority,1997-1998,EASR,380.5,
S12000048,Perth and Kinross,Local Authority,1998-1999,EASR,409.3,
S12000048,Perth and Kinross,Local Authority,1999-2000,EASR,481.7,
S12000048,Perth and Kinross,Local Authority,2000-2001,EASR,546.7,
S12000048,Perth and Kinross,Local Authority,2001-2002,EASR,546.7,
S12000048,Perth and Kinross,Local Authority,2002-2003,EASR,583.6,
S12000048,Perth and Kinross,Local Authority,2003-2004,EASR,602.5,
S12000048,Perth and Kinross,Local Authority,2004-2005,EASR,536.9,
S12000048,Perth and Kinross,Local Authority,2005-2006,EASR,519,
S12000048,Perth and Kinross,Local Authority,2006-2007,EASR,606,
S12000048,Perth and Kinross,Local Authority,2007-2008,EASR,567.6,
S12000048,Perth and Kinross,Local Authority,2008-2009,EASR,588.2,
S12000048,Perth and Kinross,Local Authority,2009-2010,EASR,494.3,
S12000048,Perth and Kinross,Local Authority,2010-2011,EASR,491.6,
S12000048,Perth and Kinross,Local Authority,2011-2012,EASR,478.5,
S12000048,Perth and Kinross,Local Authority,2012-2013,EASR,435.8,
S12000048,Perth and Kinross,Local Authority,2013-2014,EASR,354.2,
S12000048,Perth and Kinross,Local Authority,2014-2015,EASR,401.4,
S12000048,Perth and Kinross,Local Authority,2015-2016,EASR,329.1,
S12000048,Perth and Kinross,Local Authority,2016-2017,EASR,395.5,
S12000050,North Lanarkshire,Local Authority,2008-2009,Count,2586,Persons
S12000050,North Lanarkshire,Local Authority,2009-2010,Count,2237,Persons
S12000050,North Lanarkshire,Local Authority,2010-2011,Count,2206,Persons
S12000050,North Lanarkshire,Local Authority,2011-2012,Count,2480,Persons
S12000050,North Lanarkshire,Local Authority,2012-2013,Count,2567,Persons
S12000050,North Lanarkshire,Local Authority,1997-1998,Count,1281,Persons
S12000050,North Lanarkshire,Local Authority,1998-1999,Count,1621,Persons
S12000050,North Lanarkshire,Local Authority,1999-2000,Count,1933,Persons
S12000050,North Lanarkshire,Local Authority,2000-2001,Count,1913,Persons
S12000050,North Lanarkshire,Local Authority,2001-2002,Count,2099,Persons
S12000050,North Lanarkshire,Local Authority,2002-2003,Count,2269,Persons
S12000050,North Lanarkshire,Local Authority,2003-2004,Count,2374,Persons
S12000050,North Lanarkshire,Local Authority,2004-2005,Count,2461,Persons
S12000050,North Lanarkshire,Local Authority,2005-2006,Count,2507,Persons
S12000050,North Lanarkshire,Local Authority,2006-2007,Count,2546,Persons
S12000050,North Lanarkshire,Local Authority,2007-2008,Count,2832,Persons
S12000050,North Lanarkshire,Local Authority,2013-2014,Count,2589,Persons
S12000050,North Lanarkshire,Local Authority,2014-2015,Count,2545,Persons
S12000050,North Lanarkshire,Local Authority,2015-2016,Count,2746,Persons
S12000050,North Lanarkshire,Local Authority,2016-2017,Count,2837,Persons
S12000050,North Lanarkshire,Local Authority,1997-1998,EASR,429,
S12000050,North Lanarkshire,Local Authority,1998-1999,EASR,542.5,
S12000050,North Lanarkshire,Local Authority,1999-2000,EASR,643.4,
S12000050,North Lanarkshire,Local Authority,2000-2001,EASR,627.3,
S12000050,North Lanarkshire,Local Authority,2001-2002,EASR,680,
S12000050,North Lanarkshire,Local Authority,2002-2003,EASR,735.7,
S12000050,North Lanarkshire,Local Authority,2003-2004,EASR,768.8,
S12000050,North Lanarkshire,Local Authority,2004-2005,EASR,793.9,
S12000050,North Lanarkshire,Local Authority,2005-2006,EASR,796.6,
S12000050,North Lanarkshire,Local Authority,2006-2007,EASR,799.4,
S12000050,North Lanarkshire,Local Authority,2007-2008,EASR,889.7,
S12000050,North Lanarkshire,Local Authority,2008-2009,EASR,799.5,
S12000050,North Lanarkshire,Local Authority,2009-2010,EASR,696.2,
S12000050,North Lanarkshire,Local Authority,2010-2011,EASR,682.5,
S12000050,North Lanarkshire,Local Authority,2011-2012,EASR,765.1,
S12000050,North Lanarkshire,Local Authority,2012-2013,EASR,786.4,
S12000050,North Lanarkshire,Local Authority,2013-2014,EASR,792.1,
S12000050,North Lanarkshire,Local Authority,2014-2015,EASR,781.9,
S12000050,North Lanarkshire,Local Authority,2015-2016,EASR,835.4,
S12000050,North Lanarkshire,Local Authority,2016-2017,EASR,862.6,
S12000049,Glasgow City,Local Authority,2008-2009,Count,8322,Persons
S12000049,Glasgow City,Local Authority,2009-2010,Count,7843,Persons
S12000049,Glasgow City,Local Authority,2010-2011,Count,8068,Persons
S12000049,Glasgow City,Local Authority,2011-2012,Count,7595,Persons
S12000049,Glasgow City,Local Authority,2012-2013,Count,6770,Persons
S12000049,Glasgow City,Local Authority,1997-1998,Count,6491,Persons
S12000049,Glasgow City,Local Authority,1998-1999,Count,6330,Persons
S12000049,Glasgow City,Local Authority,1999-2000,Count,6540,Persons
S12000049,Glasgow City,Local Authority,2000-2001,Count,6565,Persons
S12000049,Glasgow City,Local Authority,2001-2002,Count,6710,Persons
S12000049,Glasgow City,Local Authority,2002-2003,Count,6858,Persons
S12000049,Glasgow City,Local Authority,2003-2004,Count,6472,Persons
S12000049,Glasgow City,Local Authority,2004-2005,Count,7931,Persons
S12000049,Glasgow City,Local Authority,2005-2006,Count,7671,Persons
S12000049,Glasgow City,Local Authority,2006-2007,Count,7751,Persons
S12000049,Glasgow City,Local Authority,2007-2008,Count,8197,Persons
S12000049,Glasgow City,Local Authority,2013-2014,Count,6661,Persons
S12000049,Glasgow City,Local Authority,2014-2015,Count,6378,Persons
S12000049,Glasgow City,Local Authority,2015-2016,Count,6601,Persons
S12000049,Glasgow City,Local Authority,2016-2017,Count,7306,Persons
S12000049,Glasgow City,Local Authority,1997-1998,EASR,1287.8,
S12000049,Glasgow City,Local Authority,1998-1999,EASR,1250.9,
S12000049,Glasgow City,Local Authority,1999-2000,EASR,1289.9,
S12000049,Glasgow City,Local Authority,2000-2001,EASR,1302.2,
S12000049,Glasgow City,Local Authority,2001-2002,EASR,1329.8,
S12000049,Glasgow City,Local Authority,2002-2003,EASR,1356.9,
S12000049,Glasgow City,Local Authority,2003-2004,EASR,1297.5,
S12000049,Glasgow City,Local Authority,2004-2005,EASR,1599,
S12000049,Glasgow City,Local Authority,2005-2006,EASR,1539.5,
S12000049,Glasgow City,Local Authority,2006-2007,EASR,1534.8,
S12000049,Glasgow City,Local Authority,2007-2008,EASR,1603.1,
S12000049,Glasgow City,Local Authority,2008-2009,EASR,1602.5,
S12000049,Glasgow City,Local Authority,2009-2010,EASR,1495.5,
S12000049,Glasgow City,Local Authority,2010-2011,EASR,1515.9,
S12000049,Glasgow City,Local Authority,2011-2012,EASR,1399.2,
S12000049,Glasgow City,Local Authority,2012-2013,EASR,1257.7,
S12000049,Glasgow City,Local Authority,2013-2014,EASR,1250.1,
S12000049,Glasgow City,Local Authority,2014-2015,EASR,1199.3,
S12000049,Glasgow City,Local Authority,2015-2016,EASR,1238.7,
S12000049,Glasgow City,Local Authority,2016-2017,EASR,1339.3,
S08000015,Ayrshire and Arran,Health Board,2008-2009,Count,3755,Persons
S08000015,Ayrshire and Arran,Health Board,2009-2010,Count,3869,Persons
S08000015,Ayrshire and Arran,Health Board,2010-2011,Count,3718,Persons
S08000015,Ayrshire and Arran,Health Board,2011-2012,Count,3588,Persons
S08000015,Ayrshire and Arran,Health Board,2012-2013,Count,3121,Persons
S08000016,Borders,Health Board,2008-2009,Count,691,Persons
S08000016,Borders,Health Board,2009-2010,Count,655,Persons
S08000016,Borders,Health Board,2010-2011,Count,602,Persons
S08000016,Borders,Health Board,2011-2012,Count,694,Persons
S08000016,Borders,Health Board,2012-2013,Count,619,Persons
S08000017,Dumfries and Galloway,Health Board,2008-2009,Count,846,Persons
S08000017,Dumfries and Galloway,Health Board,2009-2010,Count,782,Persons
S08000017,Dumfries and Galloway,Health Board,2010-2011,Count,780,Persons
S08000017,Dumfries and Galloway,Health Board,2011-2012,Count,740,Persons
S08000017,Dumfries and Galloway,Health Board,2012-2013,Count,733,Persons
S08000019,Forth Valley,Health Board,2008-2009,Count,1469,Persons
S08000019,Forth Valley,Health Board,2009-2010,Count,1533,Persons
S08000019,Forth Valley,Health Board,2010-2011,Count,1189,Persons
S08000019,Forth Valley,Health Board,2011-2012,Count,1325,Persons
S08000019,Forth Valley,Health Board,2012-2013,Count,1302,Persons
S08000020,Grampian,Health Board,2008-2009,Count,3834,Persons
S08000020,Grampian,Health Board,2009-2010,Count,3720,Persons
S08000020,Grampian,Health Board,2010-2011,Count,3378,Persons
S08000020,Grampian,Health Board,2011-2012,Count,3507,Persons
S08000020,Grampian,Health Board,2012-2013,Count,3010,Persons
S08000022,Highland,Health Board,2008-2009,Count,2912,Persons
S08000022,Highland,Health Board,2009-2010,Count,2573,Persons
S08000022,Highland,Health Board,2010-2011,Count,2441,Persons
S08000022,Highland,Health Board,2011-2012,Count,2357,Persons
S08000022,Highland,Health Board,2012-2013,Count,2239,Persons
S08000024,Lothian,Health Board,2008-2009,Count,5725,Persons
S08000024,Lothian,Health Board,2009-2010,Count,4928,Persons
S08000024,Lothian,Health Board,2010-2011,Count,5245,Persons
S08000024,Lothian,Health Board,2011-2012,Count,5266,Persons
S08000024,Lothian,Health Board,2012-2013,Count,5025,Persons
S08000025,Orkney,Health Board,2008-2009,Count,189,Persons
S08000025,Orkney,Health Board,2009-2010,Count,227,Persons
S08000025,Orkney,Health Board,2010-2011,Count,373,Persons
S08000025,Orkney,Health Board,2011-2012,Count,362,Persons
S08000025,Orkney,Health Board,2012-2013,Count,349,Persons
S08000026,Shetland,Health Board,2008-2009,Count,147,Persons
S08000026,Shetland,Health Board,2009-2010,Count,176,Persons
S08000026,Shetland,Health Board,2010-2011,Count,164,Persons
S08000026,Shetland,Health Board,2011-2012,Count,223,Persons
S08000026,Shetland,Health Board,2012-2013,Count,166,Persons
S08000028,Western Isles,Health Board,2008-2009,Count,308,Persons
S08000028,Western Isles,Health Board,2009-2010,Count,286,Persons
S08000028,Western Isles,Health Board,2010-2011,Count,293,Persons
S08000028,Western Isles,Health Board,2011-2012,Count,268,Persons
S08000028,Western Isles,Health Board,2012-2013,Count,234,Persons
S08000017,Dumfries and Galloway,Health Board,1997-1998,Count,663,Persons
S08000017,Dumfries and Galloway,Health Board,1998-1999,Count,732,Persons
S08000017,Dumfries and Galloway,Health Board,1999-2000,Count,689,Persons
S08000017,Dumfries and Galloway,Health Board,2000-2001,Count,800,Persons
S08000017,Dumfries and Galloway,Health Board,2001-2002,Count,757,Persons
S08000017,Dumfries and Galloway,Health Board,2002-2003,Count,801,Persons
S08000017,Dumfries and Galloway,Health Board,2003-2004,Count,801,Persons
S08000017,Dumfries and Galloway,Health Board,2004-2005,Count,787,Persons
S08000017,Dumfries and Galloway,Health Board,2005-2006,Count,767,Persons
S08000017,Dumfries and Galloway,Health Board,2006-2007,Count,726,Persons
S08000017,Dumfries and Galloway,Health Board,2007-2008,Count,849,Persons
S08000017,Dumfries and Galloway,Health Board,2013-2014,Count,784,Persons
S08000017,Dumfries and Galloway,Health Board,2014-2015,Count,636,Persons
S08000017,Dumfries and Galloway,Health Board,2015-2016,Count,697,Persons
S08000019,Forth Valley,Health Board,1997-1998,Count,1056,Persons
S08000019,Forth Valley,Health Board,1998-1999,Count,1204,Persons
S08000019,Forth Valley,Health Board,1999-2000,Count,1176,Persons
S08000019,Forth Valley,Health Board,2000-2001,Count,1150,Persons
S08000019,Forth Valley,Health Board,2001-2002,Count,1256,Persons
S08000019,Forth Valley,Health Board,2002-2003,Count,1391,Persons
S08000019,Forth Valley,Health Board,2003-2004,Count,1336,Persons
S08000019,Forth Valley,Health Board,2004-2005,Count,1389,Persons
S08000019,Forth Valley,Health Board,2005-2006,Count,1138,Persons
S08000019,Forth Valley,Health Board,2006-2007,Count,1249,Persons
S08000019,Forth Valley,Health Board,2007-2008,Count,1483,Persons
S08000019,Forth Valley,Health Board,2013-2014,Count,1450,Persons
S08000019,Forth Valley,Health Board,2014-2015,Count,1391,Persons
S08000019,Forth Valley,Health Board,2015-2016,Count,1478,Persons
S08000020,Grampian,Health Board,1997-1998,Count,2529,Persons
S08000020,Grampian,Health Board,1998-1999,Count,2528,Persons
S08000020,Grampian,Health Board,1999-2000,Count,2883,Persons
S08000020,Grampian,Health Board,2000-2001,Count,2487,Persons
S08000020,Grampian,Health Board,2001-2002,Count,2684,Persons
S08000020,Grampian,Health Board,2002-2003,Count,2859,Persons
S08000020,Grampian,Health Board,2003-2004,Count,3300,Persons
S08000020,Grampian,Health Board,2004-2005,Count,3166,Persons
S08000020,Grampian,Health Board,2005-2006,Count,3434,Persons
S08000020,Grampian,Health Board,2006-2007,Count,3610,Persons
S08000020,Grampian,Health Board,2007-2008,Count,3843,Persons
S08000020,Grampian,Health Board,2013-2014,Count,3039,Persons
S08000020,Grampian,Health Board,2014-2015,Count,2796,Persons
S08000020,Grampian,Health Board,2015-2016,Count,2812,Persons
S08000022,Highland,Health Board,1997-1998,Count,2052,Persons
S08000022,Highland,Health Board,1998-1999,Count,2247,Persons
S08000022,Highland,Health Board,1999-2000,Count,2503,Persons
S08000022,Highland,Health Board,2000-2001,Count,2528,Persons
S08000022,Highland,Health Board,2001-2002,Count,2853,Persons
S08000022,Highland,Health Board,2002-2003,Count,3025,Persons
S08000022,Highland,Health Board,2003-2004,Count,2762,Persons
S08000022,Highland,Health Board,2004-2005,Count,2788,Persons
S08000022,Highland,Health Board,2005-2006,Count,2812,Persons
S08000022,Highland,Health Board,2006-2007,Count,2930,Persons
S08000022,Highland,Health Board,2007-2008,Count,3071,Persons
