FeatureCode,DateCode,Measurement,Units,Value,Gender,Working Pattern,Population Group
S12000010,2009,Median,Pounds (GBP),456.2,Male,Full Time,Workplace Based
S12000029,2008,Median,Pounds (GBP),502.6,Male,Full Time,Workplace Based
S12000042,2009,Median,Pounds (GBP),498.7,Male,Full Time,Workplace Based
S12000048,2008,Mean,Pounds (GBP),541.4,Male,Full Time,Workplace Based
S12000029,2008,Mean,Pounds (GBP),548.8,Male,Full Time,Workplace Based
S12000018,2012,Mean,Pounds (GBP),591.2,Male,Full Time,Residence Based
S12000008,2009,Mean,Pounds (GBP),487.5,Male,Full Time,Workplace Based
S12000017,2012,Median,Pounds (GBP),511.5,Male,Full Time,Residence Based
S12000008,2009,Median,Pounds (GBP),425,Male,Full Time,Workplace Based
S12000041,2009,Median,Pounds (GBP),455.6,Male,Full Time,Workplace Based
S12000038,2008,Mean,Pounds (GBP),655.7,Male,Full Time,Workplace Based
S12000026,2008,Mean,Pounds (GBP),481.3,Male,Full Time,Workplace Based
S12000041,2009,Mean,Pounds (GBP),515.3,Male,Full Time,Workplace Based
S12000011,2012,Mean,Pounds (GBP),772.1,Male,Full Time,Residence Based
S12000011,2012,Median,Pounds (GBP),655.4,Male,Full Time,Residence Based
S12000048,2008,Median,Pounds (GBP),503.6,Male,Full Time,Workplace Based
S12000010,2012,Mean,Pounds (GBP),636.5,Male,Full Time,Residence Based
S12000006,2009,Median,Pounds (GBP),465.5,Male,Full Time,Workplace Based
S12000011,2009,Mean,Pounds (GBP),475,Male,Full Time,Workplace Based
S12000027,2013,Median,Pounds (GBP),595.1,Male,Full Time,Residence Based
S12000042,2009,Mean,Pounds (GBP),584.5,Male,Full Time,Workplace Based
S12000026,2013,Mean,Pounds (GBP),628,Male,Full Time,Residence Based
S12000026,2013,Median,Pounds (GBP),517.1,Male,Full Time,Residence Based
S12000006,2009,Mean,Pounds (GBP),572.6,Male,Full Time,Workplace Based
S12000005,2009,Mean,Pounds (GBP),709,Male,Full Time,Workplace Based
S12000019,2012,Mean,Pounds (GBP),590.6,Male,Full Time,Residence Based
S12000023,2005,Median,Pounds (GBP),418.2,Male,Full Time,Residence Based
S12000018,2012,Median,Pounds (GBP),478.3,Male,Full Time,Residence Based
S12000023,2005,Mean,Pounds (GBP),477.9,Male,Full Time,Residence Based
S12000013,2009,Mean,Pounds (GBP),572,Male,Full Time,Workplace Based
S12000027,2013,Mean,Pounds (GBP),666,Male,Full Time,Residence Based
S12000013,2009,Median,Pounds (GBP),461.4,Male,Full Time,Workplace Based
S12000033,2014,Median,Pounds (GBP),612.2,Male,Full Time,Residence Based
S12000018,2009,Median,Pounds (GBP),498.3,Male,Full Time,Workplace Based
S12000030,2008,Median,Pounds (GBP),452.8,Male,Full Time,Workplace Based
S12000039,2004,Median,Pounds (GBP),382.2,Male,Full Time,Residence Based
S12000019,2009,Mean,Pounds (GBP),598.9,Male,Full Time,Workplace Based
S12000019,2009,Median,Pounds (GBP),528.9,Male,Full Time,Workplace Based
S12000023,2013,Median,Pounds (GBP),504,Male,Full Time,Residence Based
S12000023,2013,Mean,Pounds (GBP),552.2,Male,Full Time,Residence Based
S12000033,2014,Mean,Pounds (GBP),750.1,Male,Full Time,Residence Based
S12000027,2008,Median,Pounds (GBP),624.8,Male,Full Time,Workplace Based
S12000040,2004,Median,Pounds (GBP),444.2,Male,Full Time,Residence Based
S12000040,2004,Mean,Pounds (GBP),494.6,Male,Full Time,Residence Based
S12000035,2014,Mean,Pounds (GBP),609.1,Male,Full Time,Residence Based
S12000035,2014,Median,Pounds (GBP),530.6,Male,Full Time,Residence Based
S12000027,2008,Mean,Pounds (GBP),649.9,Male,Full Time,Workplace Based
S12000030,2008,Mean,Pounds (GBP),531.6,Male,Full Time,Workplace Based
S12000048,2013,Median,Pounds (GBP),527.5,Male,Full Time,Residence Based
S12000038,2008,Median,Pounds (GBP),553.6,Male,Full Time,Workplace Based
S12000018,2009,Mean,Pounds (GBP),535.6,Male,Full Time,Workplace Based
S12000026,2008,Median,Pounds (GBP),427.3,Male,Full Time,Workplace Based
S12000023,2008,Mean,Pounds (GBP),527,Male,Full Time,Workplace Based
S12000019,2012,Median,Pounds (GBP),470.2,Male,Full Time,Residence Based
S12000026,2005,Median,Pounds (GBP),407.9,Male,Full Time,Residence Based
S12000026,2005,Mean,Pounds (GBP),490.2,Male,Full Time,Residence Based
S12000028,2008,Mean,Pounds (GBP),568.7,Male,Full Time,Workplace Based
S12000028,2008,Median,Pounds (GBP),514.7,Male,Full Time,Workplace Based
S12000038,2013,Mean,Pounds (GBP),646.2,Male,Full Time,Residence Based
S12000038,2013,Median,Pounds (GBP),572.4,Male,Full Time,Residence Based
S12000034,2014,Mean,Pounds (GBP),767.8,Male,Full Time,Residence Based
S12000048,2013,Mean,Pounds (GBP),628.3,Male,Full Time,Residence Based
S12000034,2014,Median,Pounds (GBP),641.3,Male,Full Time,Residence Based
S12000010,2014,Median,Pounds (GBP),532.2,Male,Full Time,Residence Based
S12000010,2014,Mean,Pounds (GBP),671.4,Male,Full Time,Residence Based
S12000045,2014,Mean,Pounds (GBP),820.1,Male,Full Time,Residence Based
S12000040,2019,Mean,Pounds (GBP),686.3,Male,Full Time,Workplace Based
S12000042,2010,Mean,Pounds (GBP),604,Male,Full Time,Workplace Based
S12000006,2010,Mean,Pounds (GBP),565.1,Male,Full Time,Workplace Based
S12000027,2004,Mean,Pounds (GBP),495.5,Male,Full Time,Residence Based
S12000027,2004,Median,Pounds (GBP),459.5,Male,Full Time,Residence Based
S12000039,2019,Mean,Pounds (GBP),749.9,Male,Full Time,Workplace Based
S12000045,2010,Mean,Pounds (GBP),614.1,Male,Full Time,Workplace Based
S12000050,2009,Mean,Pounds (GBP),604.4,Male,Full Time,Workplace Based
S12000045,2010,Median,Pounds (GBP),537.5,Male,Full Time,Workplace Based
S12000008,2014,Median,Pounds (GBP),555.2,Male,Full Time,Residence Based
S12000040,2019,Median,Pounds (GBP),617.8,Male,Full Time,Workplace Based
S12000008,2010,Median,Pounds (GBP),451.2,Male,Full Time,Workplace Based
S12000008,2010,Mean,Pounds (GBP),491.5,Male,Full Time,Workplace Based
S12000045,2014,Median,Pounds (GBP),646.8,Male,Full Time,Residence Based
S12000027,2019,Median,Pounds (GBP),592.4,Male,Full Time,Workplace Based
S12000028,2004,Median,Pounds (GBP),498.8,Male,Full Time,Residence Based
S12000028,2004,Mean,Pounds (GBP),540.5,Male,Full Time,Residence Based
S12000008,2012,Mean,Pounds (GBP),567.7,Male,Full Time,Residence Based
S12000021,2010,Mean,Pounds (GBP),566.2,Male,Full Time,Workplace Based
S12000023,2010,Median,Pounds (GBP),660.6,Male,Full Time,Workplace Based
S12000027,2019,Mean,Pounds (GBP),633.9,Male,Full Time,Workplace Based
S12000018,2004,Mean,Pounds (GBP),498.9,Male,Full Time,Residence Based
S12000048,2010,Median,Pounds (GBP),491.6,Male,Full Time,Workplace Based
S12000006,2010,Median,Pounds (GBP),474.3,Male,Full Time,Workplace Based
S12000018,2004,Median,Pounds (GBP),414,Male,Full Time,Residence Based
S12000008,2014,Mean,Pounds (GBP),591.9,Male,Full Time,Residence Based
S12000048,2010,Mean,Pounds (GBP),531.4,Male,Full Time,Workplace Based
S92000003,2014,Median,Pounds (GBP),557.5,Male,Full Time,Residence Based
S12000039,2014,Median,Pounds (GBP),528.6,Male,Full Time,Residence Based
S12000028,2018,Mean,Pounds (GBP),723.9,Male,Full Time,Workplace Based
S12000028,2018,Median,Pounds (GBP),629.2,Male,Full Time,Workplace Based
S12000039,2014,Mean,Pounds (GBP),621.6,Male,Full Time,Residence Based
S92000003,2014,Mean,Pounds (GBP),647.8,Male,Full Time,Residence Based
S12000005,2017,Median,Pounds (GBP),581,Male,Full Time,Workplace Based
S12000005,2017,Mean,Pounds (GBP),601.7,Male,Full Time,Workplace Based
S12000036,2017,Median,Pounds (GBP),625.9,Male,Full Time,Workplace Based
S12000018,2014,Mean,Pounds (GBP),654.7,Male,Full Time,Residence Based
S12000035,2017,Median,Pounds (GBP),546.6,Male,Full Time,Workplace Based
S12000013,2014,Median,Pounds (GBP),477.6,Male,Full Time,Residence Based
S12000035,2017,Mean,Pounds (GBP),673.9,Male,Full Time,Workplace Based
S12000019,2004,Mean,Pounds (GBP),510.3,Male,Full Time,Residence Based
S12000010,2017,Mean,Pounds (GBP),620.9,Male,Full Time,Workplace Based
S12000019,2004,Median,Pounds (GBP),421.4,Male,Full Time,Residence Based
S12000010,2017,Median,Pounds (GBP),527.2,Male,Full Time,Workplace Based
S12000041,2017,Mean,Pounds (GBP),600.6,Male,Full Time,Workplace Based
S12000040,2014,Mean,Pounds (GBP),624.3,Male,Full Time,Residence Based
S12000041,2015,Median,Pounds (GBP),563.5,Male,Full Time,Residence Based
S12000047,2004,Mean,Pounds (GBP),506,Male,Full Time,Residence Based
S12000027,2018,Median,Pounds (GBP),666.6,Male,Full Time,Workplace Based
S12000006,2017,Mean,Pounds (GBP),601.5,Male,Full Time,Workplace Based
S12000040,2014,Median,Pounds (GBP),535.5,Male,Full Time,Residence Based
S12000006,2017,Median,Pounds (GBP),481.5,Male,Full Time,Workplace Based
S12000021,2017,Median,Pounds (GBP),579.2,Male,Full Time,Workplace Based
S12000050,2009,Median,Pounds (GBP),483.2,Male,Full Time,Workplace Based
S12000036,2017,Mean,Pounds (GBP),770.5,Male,Full Time,Workplace Based
S12000021,2017,Mean,Pounds (GBP),605.6,Male,Full Time,Workplace Based
S12000041,2015,Mean,Pounds (GBP),620.2,Male,Full Time,Residence Based
S12000027,2018,Mean,Pounds (GBP),703.1,Male,Full Time,Workplace Based
S12000047,2004,Median,Pounds (GBP),430,Male,Full Time,Residence Based
S12000030,2019,Median,Pounds (GBP),670.7,Male,Full Time,Workplace Based
S12000005,2012,Median,Pounds (GBP),544.3,Male,Full Time,Residence Based
S12000047,2010,Mean,Pounds (GBP),578.8,Male,Full Time,Workplace Based
S12000047,2010,Median,Pounds (GBP),493.5,Male,Full Time,Workplace Based
S92000003,2005,Mean,Pounds (GBP),521.9,Male,Full Time,Workplace Based
S12000029,2005,Median,Pounds (GBP),447.6,Male,Full Time,Residence Based
S12000010,2010,Mean,Pounds (GBP),552.5,Male,Full Time,Workplace Based
S12000005,2012,Mean,Pounds (GBP),617.5,Male,Full Time,Residence Based
S12000030,2005,Mean,Pounds (GBP),556.5,Male,Full Time,Residence Based
S12000010,2010,Median,Pounds (GBP),496.4,Male,Full Time,Workplace Based
S12000017,2012,Mean,Pounds (GBP),602.8,Male,Full Time,Residence Based
S12000014,2010,Mean,Pounds (GBP),578.2,Male,Full Time,Workplace Based
S12000039,2019,Median,Pounds (GBP),678.3,Male,Full Time,Workplace Based
S12000041,2012,Median,Pounds (GBP),505.7,Male,Full Time,Residence Based
S12000041,2012,Mean,Pounds (GBP),570.5,Male,Full Time,Residence Based
S12000011,2010,Mean,Pounds (GBP),481.4,Male,Full Time,Workplace Based
S12000034,2013,Median,Pounds (GBP),629.1,Male,Full Time,Residence Based
S92000003,2004,Mean,Pounds (GBP),499.4,Male,Full Time,Workplace Based
S12000034,2013,Mean,Pounds (GBP),773.7,Male,Full Time,Residence Based
S92000003,2007,Median,Pounds (GBP),481.5,Male,Full Time,Workplace Based
S12000033,2008,Mean,Pounds (GBP),728.1,Male,Full Time,Workplace Based
S12000033,2008,Median,Pounds (GBP),599.7,Male,Full Time,Workplace Based
S92000003,2005,Median,Pounds (GBP),444.6,Male,Full Time,Workplace Based
S12000047,2005,Mean,Pounds (GBP),514.9,Male,Full Time,Residence Based
S12000041,2013,Mean,Pounds (GBP),582.9,Male,Full Time,Residence Based
S12000041,2013,Median,Pounds (GBP),515.3,Male,Full Time,Residence Based
S12000041,2008,Median,Pounds (GBP),446.3,Male,Full Time,Workplace Based
S12000041,2008,Mean,Pounds (GBP),505.7,Male,Full Time,Workplace Based
S92000003,2012,Median,Pounds (GBP),535.2,Male,Full Time,Residence Based
S92000003,2007,Mean,Pounds (GBP),566.6,Male,Full Time,Workplace Based
S92000003,2012,Mean,Pounds (GBP),637.6,Male,Full Time,Residence Based
S12000042,2012,Mean,Pounds (GBP),541.7,Male,Full Time,Residence Based
S12000018,2017,Mean,Pounds (GBP),716.6,Male,Full Time,Workplace Based
S12000018,2017,Median,Pounds (GBP),563,Male,Full Time,Workplace Based
S12000011,2010,Median,Pounds (GBP),416.9,Male,Full Time,Workplace Based
S12000027,2005,Median,Pounds (GBP),469.8,Male,Full Time,Residence Based
S12000045,2012,Mean,Pounds (GBP),797.4,Male,Full Time,Residence Based
S12000042,2012,Median,Pounds (GBP),476.2,Male,Full Time,Residence Based
S12000048,2018,Median,Pounds (GBP),560.3,Male,Full Time,Workplace Based
S12000030,2005,Median,Pounds (GBP),464.2,Male,Full Time,Residence Based
S12000035,2012,Mean,Pounds (GBP),582.5,Male,Full Time,Residence Based
S12000045,2012,Median,Pounds (GBP),618.1,Male,Full Time,Residence Based
S12000021,2010,Median,Pounds (GBP),550.2,Male,Full Time,Workplace Based
S12000008,2012,Median,Pounds (GBP),498.7,Male,Full Time,Residence Based
S12000035,2012,Median,Pounds (GBP),534,Male,Full Time,Residence Based
S12000013,2010,Mean,Pounds (GBP),534,Male,Full Time,Workplace Based
S12000013,2010,Median,Pounds (GBP),465.2,Male,Full Time,Workplace Based
S12000014,2010,Median,Pounds (GBP),506,Male,Full Time,Workplace Based
S12000029,2005,Mean,Pounds (GBP),497.9,Male,Full Time,Residence Based
S12000036,2012,Median,Pounds (GBP),564.3,Male,Full Time,Residence Based
S12000036,2012,Mean,Pounds (GBP),692.6,Male,Full Time,Residence Based
S12000048,2005,Mean,Pounds (GBP),504.8,Male,Full Time,Residence Based
S12000030,2019,Mean,Pounds (GBP),766.7,Male,Full Time,Workplace Based
S12000048,2005,Median,Pounds (GBP),429,Male,Full Time,Residence Based
S12000042,2010,Median,Pounds (GBP),508.7,Male,Full Time,Workplace Based
S12000019,2017,Mean,Pounds (GBP),655,Male,Full Time,Workplace Based
S12000048,2018,Mean,Pounds (GBP),639.2,Male,Full Time,Workplace Based
S12000019,2017,Median,Pounds (GBP),596.1,Male,Full Time,Workplace Based
S12000027,2005,Mean,Pounds (GBP),524.2,Male,Full Time,Residence Based
S12000006,2012,Median,Pounds (GBP),464,Male,Full Time,Residence Based
S12000020,2017,Median,Pounds (GBP),510.1,Male,Full Time,Workplace Based
S12000006,2012,Mean,Pounds (GBP),595.7,Male,Full Time,Residence Based
S12000047,2004,Median,Pounds (GBP),407.7,Male,Full Time,Workplace Based
S12000011,2004,Mean,Pounds (GBP),457.4,Male,Full Time,Workplace Based
S12000036,2015,Median,Pounds (GBP),169.3,Male,Part Time,Residence Based
S12000029,2005,Mean,Pounds (GBP),532.4,Male,Full Time,Workplace Based
S12000019,2004,Median,Pounds (GBP),420.5,Male,Full Time,Workplace Based
S12000008,2015,Mean,Pounds (GBP),159.8,Male,Part Time,Residence Based
S12000006,2015,Mean,Pounds (GBP),168.6,Male,Part Time,Residence Based
S12000019,2004,Mean,Pounds (GBP),461.9,Male,Full Time,Workplace Based
S12000010,2004,Mean,Pounds (GBP),460.5,Male,Full Time,Workplace Based
S12000013,2012,Median,Pounds (GBP),448.5,Male,Full Time,Residence Based
S12000030,2005,Median,Pounds (GBP),427.9,Male,Full Time,Workplace Based
S12000020,2012,Median,Pounds (GBP),549.5,Male,Full Time,Residence Based
S12000013,2012,Mean,Pounds (GBP),528.8,Male,Full Time,Residence Based
S12000047,2004,Mean,Pounds (GBP),476.1,Male,Full Time,Workplace Based
S12000010,2004,Median,Pounds (GBP),371.8,Male,Full Time,Workplace Based
S12000030,2005,Mean,Pounds (GBP),495.8,Male,Full Time,Workplace Based
S12000034,2015,Mean,Pounds (GBP),197.2,Male,Part Time,Residence Based
S12000029,2005,Median,Pounds (GBP),461.9,Male,Full Time,Workplace Based
S12000026,2004,Mean,Pounds (GBP),393.8,Male,Full Time,Workplace Based
S12000014,2004,Median,Pounds (GBP),426.5,Male,Full Time,Workplace Based
S12000027,2004,Mean,Pounds (GBP),496.6,Male,Full Time,Workplace Based
S12000027,2004,Median,Pounds (GBP),460,Male,Full Time,Workplace Based
S12000033,2015,Median,Pounds (GBP),188.9,Male,Part Time,Residence Based
S12000014,2004,Mean,Pounds (GBP),466.5,Male,Full Time,Workplace Based
S12000036,2015,Mean,Pounds (GBP),203.1,Male,Part Time,Residence Based
S12000038,2005,Median,Pounds (GBP),477.1,Male,Full Time,Workplace Based
S12000011,2004,Median,Pounds (GBP),384.5,Male,Full Time,Workplace Based
S12000026,2004,Median,Pounds (GBP),353.9,Male,Full Time,Workplace Based
S12000029,2004,Mean,Pounds (GBP),506.7,Male,Full Time,Workplace Based
S12000029,2004,Median,Pounds (GBP),448.9,Male,Full Time,Workplace Based
S12000033,2015,Mean,Pounds (GBP),226.6,Male,Part Time,Residence Based
S12000013,2005,Median,Pounds (GBP),403.8,Male,Full Time,Residence Based
S12000045,2008,Mean,Pounds (GBP),525.5,Male,Full Time,Workplace Based
S12000029,2014,Median,Pounds (GBP),150.6,Male,Part Time,Residence Based
S12000023,2012,Mean,Pounds (GBP),570.6,Male,Full Time,Residence Based
S12000010,2008,Mean,Pounds (GBP),577.7,Male,Full Time,Workplace Based
S12000010,2008,Median,Pounds (GBP),527.7,Male,Full Time,Workplace Based
S12000020,2012,Mean,Pounds (GBP),605.1,Male,Full Time,Residence Based
S12000045,2008,Median,Pounds (GBP),521.1,Male,Full Time,Workplace Based
S12000050,2019,Mean,Pounds (GBP),706,Male,Full Time,Workplace Based
S12000026,2012,Mean,Pounds (GBP),579.5,Male,Full Time,Residence Based
S92000003,2014,Mean,Pounds (GBP),191.4,Male,Part Time,Residence Based
S12000033,2011,Median,Pounds (GBP),646.7,Male,Full Time,Workplace Based
S12000020,2005,Mean,Pounds (GBP),461.8,Male,Full Time,Residence Based
S12000029,2014,Mean,Pounds (GBP),178.1,Male,Part Time,Residence Based
S12000026,2012,Median,Pounds (GBP),473.3,Male,Full Time,Residence Based
S12000030,2014,Mean,Pounds (GBP),208.6,Male,Part Time,Residence Based
S12000027,2012,Median,Pounds (GBP),572.9,Male,Full Time,Residence Based
S12000008,2008,Mean,Pounds (GBP),470.9,Male,Full Time,Workplace Based
S12000021,2019,Mean,Pounds (GBP),602.5,Male,Full Time,Workplace Based
S12000021,2005,Mean,Pounds (GBP),564.8,Male,Full Time,Residence Based
S12000034,2011,Median,Pounds (GBP),507.7,Male,Full Time,Workplace Based
S12000021,2005,Median,Pounds (GBP),460.2,Male,Full Time,Residence Based
S12000027,2012,Mean,Pounds (GBP),656.9,Male,Full Time,Residence Based
S12000008,2008,Median,Pounds (GBP),435.6,Male,Full Time,Workplace Based
S12000021,2012,Median,Pounds (GBP),520.4,Male,Full Time,Residence Based
S12000048,2012,Mean,Pounds (GBP),603.4,Male,Full Time,Residence Based
S12000011,2008,Mean,Pounds (GBP),485.1,Male,Full Time,Workplace Based
S12000021,2012,Mean,Pounds (GBP),591.9,Male,Full Time,Residence Based
S12000048,2012,Median,Pounds (GBP),527.2,Male,Full Time,Residence Based
S12000034,2011,Mean,Pounds (GBP),625.6,Male,Full Time,Workplace Based
S12000013,2005,Mean,Pounds (GBP),426.5,Male,Full Time,Residence Based
S12000014,2010,Median,Pounds (GBP),519.1,Male,Full Time,Residence Based
S12000021,2001,Mean,Pounds (GBP),448.1,Male,Full Time,Workplace Based
S12000023,2006,Mean,Pounds (GBP),452.9,Male,Full Time,Residence Based
S12000014,2010,Mean,Pounds (GBP),570.3,Male,Full Time,Residence Based
S12000029,2006,Median,Pounds (GBP),467.4,Male,Full Time,Residence Based
S12000041,2010,Mean,Pounds (GBP),581.8,Male,Full Time,Residence Based
S12000013,2001,Median,Pounds (GBP),354.6,Male,Full Time,Workplace Based
S12000041,2010,Median,Pounds (GBP),521.9,Male,Full Time,Residence Based
S12000028,2005,Median,Pounds (GBP),433.9,Male,Full Time,Workplace Based
S12000021,2001,Median,Pounds (GBP),410.8,Male,Full Time,Workplace Based
S12000017,2004,Median,Pounds (GBP),396.3,Male,Full Time,Workplace Based
S12000028,2005,Mean,Pounds (GBP),479.1,Male,Full Time,Workplace Based
S12000047,2010,Median,Pounds (GBP),521.3,Male,Full Time,Residence Based
S12000047,2010,Mean,Pounds (GBP),613.9,Male,Full Time,Residence Based
S12000021,2006,Mean,Pounds (GBP),563.7,Male,Full Time,Residence Based
S12000029,2006,Mean,Pounds (GBP),552,Male,Full Time,Workplace Based
S12000019,2001,Median,Pounds (GBP),355.5,Male,Full Time,Workplace Based
S12000019,2001,Mean,Pounds (GBP),392.2,Male,Full Time,Workplace Based
S12000047,2001,Median,Pounds (GBP),364.7,Male,Full Time,Workplace Based
S12000039,2006,Median,Pounds (GBP),460,Male,Full Time,Workplace Based
S12000010,2010,Mean,Pounds (GBP),607.1,Male,Full Time,Residence Based
S12000038,2006,Median,Pounds (GBP),459.9,Male,Full Time,Residence Based
S12000010,2010,Median,Pounds (GBP),497.4,Male,Full Time,Residence Based
S12000011,2010,Median,Pounds (GBP),670,Male,Full Time,Residence Based
S12000013,2001,Mean,Pounds (GBP),408.4,Male,Full Time,Workplace Based
S12000048,2006,Mean,Pounds (GBP),570.8,Male,Full Time,Residence Based
S12000011,2010,Mean,Pounds (GBP),793.5,Male,Full Time,Residence Based
S12000023,2001,Mean,Pounds (GBP),353.7,Male,Full Time,Workplace Based
S12000048,2006,Median,Pounds (GBP),479.4,Male,Full Time,Residence Based
S12000047,2001,Mean,Pounds (GBP),407.8,Male,Full Time,Workplace Based
S12000023,2006,Median,Pounds (GBP),435.2,Male,Full Time,Residence Based
S12000040,2014,Mean,Pounds (GBP),156.9,Male,Part Time,Residence Based
S12000006,2005,Median,Pounds (GBP),377.9,Male,Full Time,Workplace Based
S12000005,2005,Mean,Pounds (GBP),498,Male,Full Time,Workplace Based
S12000006,2005,Mean,Pounds (GBP),446.8,Male,Full Time,Workplace Based
S12000005,2005,Median,Pounds (GBP),385.6,Male,Full Time,Workplace Based
S12000019,2005,Mean,Pounds (GBP),445.2,Male,Full Time,Workplace Based
S12000038,2014,Median,Pounds (GBP),121.6,Male,Part Time,Residence Based
S12000019,2005,Median,Pounds (GBP),418.5,Male,Full Time,Workplace Based
S12000048,2014,Mean,Pounds (GBP),166.3,Male,Part Time,Residence Based
S12000008,2005,Median,Pounds (GBP),439.7,Male,Full Time,Workplace Based
S12000038,2014,Mean,Pounds (GBP),148.6,Male,Part Time,Residence Based
S12000008,2005,Mean,Pounds (GBP),483.6,Male,Full Time,Workplace Based
S12000042,2005,Median,Pounds (GBP),437.2,Male,Full Time,Workplace Based
S12000040,2014,Median,Pounds (GBP),145.4,Male,Part Time,Residence Based
S12000018,2005,Median,Pounds (GBP),409.7,Male,Full Time,Workplace Based
S12000042,2005,Mean,Pounds (GBP),520.4,Male,Full Time,Workplace Based
