area_code,reference_area,area_type,year,area,value,units
S12000010,East Lothian,Local Authority,2016,Derelict Land,76,Hectares
S12000010,East Lothian,Local Authority,2011,Urban Vacant Land,9,Hectares
S12000010,East Lothian,Local Authority,2012,Urban Vacant Land,9,Hectares
S12000010,East Lothian,Local Authority,2008,Urban Vacant Land,8,Hectares
S12000010,East Lothian,Local Authority,2009,Urban Vacant Land,9,Hectares
S12000010,East Lothian,Local Authority,2017,Derelict Land,79,Hectares
S12000010,East Lothian,Local Authority,2015,Derelict Land,76,Hectares
S12000010,East Lothian,Local Authority,2014,Derelict Land,61,Hectares
S12000010,East Lothian,Local Authority,2003,Derelict Land,90,Hectares
S12000010,East Lothian,Local Authority,2004,Derelict Land,79,Hectares
S12000010,East Lothian,Local Authority,2005,Derelict Land,75,Hectares
S12000010,East Lothian,Local Authority,2010,Derelict Land,77,Hectares
S12000010,East Lothian,Local Authority,2011,Derelict Land,74,Hectares
S12000010,East Lothian,Local Authority,2006,Urban Vacant Land,7,Hectares
S12000010,East Lothian,Local Authority,2015,Urban Vacant Land,15,Hectares
S12000010,East Lothian,Local Authority,2002,Derelict Land,94,Hectares
S12000010,East Lothian,Local Authority,2013,Derelict Land,62,Hectares
S12000010,East Lothian,Local Authority,2018,Urban Vacant Land,10,Hectares
S12000010,East Lothian,Local Authority,2019,Urban Vacant Land,10,Hectares
S12000010,East Lothian,Local Authority,2006,Derelict Land,64,Hectares
S12000010,East Lothian,Local Authority,2003,Urban Vacant Land,28,Hectares
S12000010,East Lothian,Local Authority,2019,Derelict Land,79,Hectares
S12000010,East Lothian,Local Authority,2007,Derelict Land,58,Hectares
S12000010,East Lothian,Local Authority,2018,Derelict Land,78,Hectares
S12000010,East Lothian,Local Authority,2010,Urban Vacant Land,9,Hectares
S12000010,East Lothian,Local Authority,2007,Urban Vacant Land,4,Hectares
S12000010,East Lothian,Local Authority,2014,Urban Vacant Land,10,Hectares
S12000010,East Lothian,Local Authority,2004,Urban Vacant Land,7,Hectares
S12000010,East Lothian,Local Authority,2008,Derelict Land,77,Hectares
S12000010,East Lothian,Local Authority,2013,Urban Vacant Land,11,Hectares
S12000010,East Lothian,Local Authority,2017,Urban Vacant Land,14,Hectares
S12000010,East Lothian,Local Authority,2002,Urban Vacant Land,29,Hectares
S12000010,East Lothian,Local Authority,2016,Urban Vacant Land,19,Hectares
S12000010,East Lothian,Local Authority,2005,Urban Vacant Land,10,Hectares
S12000010,East Lothian,Local Authority,2009,Derelict Land,77,Hectares
S12000010,East Lothian,Local Authority,2012,Derelict Land,62,Hectares
S12000011,East Renfrewshire,Local Authority,2013,Urban Vacant Land,21,Hectares
