FeatureCode,DateCode,Measurement,Units,Value,Gender,Age,Outcome
S12000042,2015,Count,People,11,Male,All,Killed Or Seriously Injured
S12000049,2003,Count,People,77,Male,0-19 years,Killed Or Seriously Injured
S12000029,2010,Count,People,19,Male,20-39 years,Killed Or Seriously Injured
S12000036,2010,Count,People,21,Male,40-59 years,Killed Or Seriously Injured
S12000036,2010,Count,People,39,Male,20-39 years,Killed Or Seriously Injured
S12000036,2010,Count,People,20,Male,0-19 years,Killed Or Seriously Injured
S12000035,2010,Count,People,28,Male,20-39 years,Killed Or Seriously Injured
S12000047,2003,Count,People,57,Male,20-39 years,Killed Or Seriously Injured
S12000035,2010,Count,People,20,Male,40-59 years,Killed Or Seriously Injured
S12000027,2010,Count,People,0,Male,20-39 years,Killed Or Seriously Injured
S12000049,2003,Count,People,49,Male,40-59 years,Killed Or Seriously Injured
S12000027,2010,Count,People,0,Male,40-59 years,Killed Or Seriously Injured
S12000050,2003,Count,People,28,Male,20-39 years,Killed Or Seriously Injured
S12000027,2010,Count,People,1,Male,0-19 years,Killed Or Seriously Injured
S12000050,2003,Count,People,24,Male,40-59 years,Killed Or Seriously Injured
S12000048,2010,Count,People,7,Male,0-19 years,Killed Or Seriously Injured
S12000047,2010,Count,People,34,Male,20-39 years,Killed Or Seriously Injured
S12000048,2010,Count,People,24,Male,20-39 years,Killed Or Seriously Injured
S12000040,2003,Count,People,14,Male,0-19 years,Killed Or Seriously Injured
S12000047,2010,Count,People,19,Male,40-59 years,Killed Or Seriously Injured
S12000047,2010,Count,People,19,Male,0-19 years,Killed Or Seriously Injured
S12000010,2016,Count,People,22,Male,All,Killed Or Seriously Injured
S12000028,1999,Count,People,24,Male,20-39 years,Killed Or Seriously Injured
S92000003,2010,Count,People,511,Male,20-39 years,Killed Or Seriously Injured
S92000003,2010,Count,People,311,Male,0-19 years,Killed Or Seriously Injured
S12000013,2016,Count,People,3,Male,All,Killed Or Seriously Injured
S12000028,1999,Count,People,17,Male,40-59 years,Killed Or Seriously Injured
S12000028,2010,Count,People,7,Male,0-19 years,Killed Or Seriously Injured
S12000045,2015,Count,People,8,Male,All,Killed Or Seriously Injured
S12000029,2010,Count,People,19,Male,0-19 years,Killed Or Seriously Injured
S12000028,2010,Count,People,12,Male,20-39 years,Killed Or Seriously Injured
S12000030,2010,Count,People,8,Male,0-19 years,Killed Or Seriously Injured
S12000028,2010,Count,People,13,Male,40-59 years,Killed Or Seriously Injured
S12000049,2010,Count,People,39,Male,0-19 years,Killed Or Seriously Injured
S12000049,2010,Count,People,29,Male,40-59 years,Killed Or Seriously Injured
S12000049,2010,Count,People,47,Male,20-39 years,Killed Or Seriously Injured
S12000050,2003,Count,People,36,Male,0-19 years,Killed Or Seriously Injured
S12000049,2003,Count,People,85,Male,20-39 years,Killed Or Seriously Injured
S12000048,2010,Count,People,24,Male,40-59 years,Killed Or Seriously Injured
S08000020,2010,Count,People,90,Male,20-39 years,Killed Or Seriously Injured
S08000016,2005,Count,People,99,Male,All,Killed Or Seriously Injured
S08000020,2010,Count,People,73,Male,40-59 years,Killed Or Seriously Injured
S08000020,2010,Count,People,41,Male,0-19 years,Killed Or Seriously Injured
S08000024,2010,Count,People,46,Male,0-19 years,Killed Or Seriously Injured
S12000048,2003,Count,People,24,Male,40-59 years,Killed Or Seriously Injured
S08000026,2010,Count,People,1,Male,0-19 years,Killed Or Seriously Injured
S12000045,2003,Count,People,5,Male,40-59 years,Killed Or Seriously Injured
S08000026,2010,Count,People,0,Male,20-39 years,Killed Or Seriously Injured
S08000025,2010,Count,People,0,Male,40-59 years,Killed Or Seriously Injured
S08000017,2005,Count,People,88,Male,All,Killed Or Seriously Injured
S08000026,2010,Count,People,0,Male,40-59 years,Killed Or Seriously Injured
S12000026,2016,Count,People,54,Male,All,Killed Or Seriously Injured
S08000030,2010,Count,People,45,Male,40-59 years,Killed Or Seriously Injured
S08000031,2010,Count,People,64,Male,40-59 years,Killed Or Seriously Injured
S08000032,2010,Count,People,24,Male,40-59 years,Killed Or Seriously Injured
S12000028,2016,Count,People,35,Male,All,Killed Or Seriously Injured
S12000029,2016,Count,People,71,Male,All,Killed Or Seriously Injured
S12000027,2016,Count,People,4,Male,All,Killed Or Seriously Injured
S08000022,2010,Count,People,42,Male,40-59 years,Killed Or Seriously Injured
S08000022,2010,Count,People,19,Male,0-19 years,Killed Or Seriously Injured
S08000031,2010,Count,People,88,Male,20-39 years,Killed Or Seriously Injured
S08000031,2010,Count,People,74,Male,0-19 years,Killed Or Seriously Injured
S08000022,2010,Count,People,57,Male,20-39 years,Killed Or Seriously Injured
S12000033,2010,Count,People,27,Male,20-39 years,Killed Or Seriously Injured
S92000003,2016,Count,People,1243,Male,All,Killed Or Seriously Injured
S12000033,2010,Count,People,18,Male,40-59 years,Killed Or Seriously Injured
S12000033,2010,Count,People,11,Male,0-19 years,Killed Or Seriously Injured
S12000039,2016,Count,People,15,Male,All,Killed Or Seriously Injured
S12000040,2016,Count,People,31,Male,All,Killed Or Seriously Injured
S12000038,2010,Count,People,14,Male,40-59 years,Killed Or Seriously Injured
S12000038,2010,Count,People,18,Male,20-39 years,Killed Or Seriously Injured
S12000047,2003,Count,People,34,Male,0-19 years,Killed Or Seriously Injured
S12000038,2010,Count,People,6,Male,0-19 years,Killed Or Seriously Injured
S12000045,2016,Count,People,7,Male,All,Killed Or Seriously Injured
S12000047,2003,Count,People,28,Male,40-59 years,Killed Or Seriously Injured
S08000025,2010,Count,People,1,Male,20-39 years,Killed Or Seriously Injured
S08000025,2010,Count,People,2,Male,0-19 years,Killed Or Seriously Injured
S12000041,2016,Count,People,31,Male,All,Killed Or Seriously Injured
S08000024,2010,Count,People,64,Male,20-39 years,Killed Or Seriously Injured
S08000015,2005,Count,People,128,Male,All,Killed Or Seriously Injured
S08000024,2010,Count,People,38,Male,40-59 years,Killed Or Seriously Injured
S12000034,2010,Count,People,23,Male,0-19 years,Killed Or Seriously Injured
S12000042,2016,Count,People,19,Male,All,Killed Or Seriously Injured
S12000035,2010,Count,People,2,Male,0-19 years,Killed Or Seriously Injured
S12000034,2010,Count,People,52,Male,20-39 years,Killed Or Seriously Injured
S12000034,2010,Count,People,48,Male,40-59 years,Killed Or Seriously Injured
S08000025,2008,Count,People,0,Male,20-39 years,Killed Or Seriously Injured
S08000025,2008,Count,People,2,Male,0-19 years,Killed Or Seriously Injured
S08000026,2008,Count,People,1,Male,0-19 years,Killed Or Seriously Injured
S08000025,2008,Count,People,3,Male,40-59 years,Killed Or Seriously Injured
S08000028,2008,Count,People,3,Male,20-39 years,Killed Or Seriously Injured
S08000025,2007,Count,People,2,Male,All,Killed Or Seriously Injured
S08000030,2008,Count,People,38,Male,0-19 years,Killed Or Seriously Injured
S08000024,2007,Count,People,253,Male,All,Killed Or Seriously Injured
S08000030,2008,Count,People,58,Male,20-39 years,Killed Or Seriously Injured
S08000022,2007,Count,People,175,Male,All,Killed Or Seriously Injured
S08000026,2008,Count,People,2,Male,20-39 years,Killed Or Seriously Injured
S08000030,2008,Count,People,53,Male,40-59 years,Killed Or Seriously Injured
S08000016,2007,Count,People,69,Male,All,Killed Or Seriously Injured
S12000023,1999,Count,People,9,Male,0-19 years,Killed Or Seriously Injured
S12000023,1999,Count,People,0,Male,40-59 years,Killed Or Seriously Injured
S08000020,2007,Count,People,212,Male,All,Killed Or Seriously Injured
S08000019,2007,Count,People,98,Male,All,Killed Or Seriously Injured
S12000026,1999,Count,People,15,Male,0-19 years,Killed Or Seriously Injured
S08000026,2007,Count,People,9,Male,All,Killed Or Seriously Injured
S08000028,2008,Count,People,3,Male,40-59 years,Killed Or Seriously Injured
S08000028,2008,Count,People,3,Male,0-19 years,Killed Or Seriously Injured
S08000017,2007,Count,People,122,Male,All,Killed Or Seriously Injured
S12000023,1999,Count,People,9,Male,20-39 years,Killed Or Seriously Injured
S08000026,2008,Count,People,0,Male,40-59 years,Killed Or Seriously Injured
S12000035,1999,Count,People,27,Male,0-19 years,Killed Or Seriously Injured
S12000036,1999,Count,People,32,Male,0-19 years,Killed Or Seriously Injured
S08000017,2008,Count,People,74,Male,All,Killed Or Seriously Injured
S08000016,2009,Count,People,64,Male,All,Killed Or Seriously Injured
S12000034,1999,Count,People,22,Male,0-19 years,Killed Or Seriously Injured
S08000017,2009,Count,People,86,Male,All,Killed Or Seriously Injured
S12000029,1999,Count,People,44,Male,0-19 years,Killed Or Seriously Injured
S12000030,1999,Count,People,20,Male,0-19 years,Killed Or Seriously Injured
S08000015,2008,Count,People,124,Male,All,Killed Or Seriously Injured
S12000035,1999,Count,People,49,Male,20-39 years,Killed Or Seriously Injured
S12000035,1999,Count,People,23,Male,40-59 years,Killed Or Seriously Injured
S08000019,2008,Count,People,118,Male,All,Killed Or Seriously Injured
S08000029,2008,Count,People,39,Male,20-39 years,Killed Or Seriously Injured
S08000029,2008,Count,People,24,Male,0-19 years,Killed Or Seriously Injured
S08000015,2009,Count,People,114,Male,All,Killed Or Seriously Injured
S08000031,2008,Count,People,130,Male,20-39 years,Killed Or Seriously Injured
S08000031,2008,Count,People,92,Male,0-19 years,Killed Or Seriously Injured
S08000028,2008,Count,People,10,Male,All,Killed Or Seriously Injured
S08000026,2008,Count,People,4,Male,All,Killed Or Seriously Injured
S12000034,1999,Count,People,62,Male,20-39 years,Killed Or Seriously Injured
S08000019,2009,Count,People,88,Male,All,Killed Or Seriously Injured
S08000029,2008,Count,People,21,Male,40-59 years,Killed Or Seriously Injured
S08000025,2008,Count,People,6,Male,All,Killed Or Seriously Injured
S12000034,1999,Count,People,27,Male,40-59 years,Killed Or Seriously Injured
S12000039,2010,Count,People,8,Male,0-19 years,Killed Or Seriously Injured
S12000017,2016,Count,People,62,Male,All,Killed Or Seriously Injured
S12000040,2010,Count,People,7,Male,0-19 years,Killed Or Seriously Injured
S12000039,2010,Count,People,6,Male,20-39 years,Killed Or Seriously Injured
S12000041,2010,Count,People,7,Male,0-19 years,Killed Or Seriously Injured
S12000039,2010,Count,People,5,Male,40-59 years,Killed Or Seriously Injured
S12000045,2010,Count,People,2,Male,40-59 years,Killed Or Seriously Injured
S12000040,2003,Count,People,10,Male,40-59 years,Killed Or Seriously Injured
S12000006,2016,Count,People,45,Male,All,Killed Or Seriously Injured
S12000045,2010,Count,People,6,Male,20-39 years,Killed Or Seriously Injured
S12000045,2010,Count,People,5,Male,0-19 years,Killed Or Seriously Injured
S12000040,2003,Count,People,22,Male,20-39 years,Killed Or Seriously Injured
S12000018,2016,Count,People,10,Male,All,Killed Or Seriously Injured
S12000011,2016,Count,People,15,Male,All,Killed Or Seriously Injured
S12000019,2016,Count,People,28,Male,All,Killed Or Seriously Injured
S12000050,2010,Count,People,17,Male,0-19 years,Killed Or Seriously Injured
S92000003,2010,Count,People,402,Male,40-59 years,Killed Or Seriously Injured
S12000050,2010,Count,People,17,Male,20-39 years,Killed Or Seriously Injured
S12000041,2010,Count,People,13,Male,20-39 years,Killed Or Seriously Injured
S12000040,2010,Count,People,8,Male,40-59 years,Killed Or Seriously Injured
S12000041,2010,Count,People,15,Male,40-59 years,Killed Or Seriously Injured
S12000014,2016,Count,People,36,Male,All,Killed Or Seriously Injured
S12000050,2010,Count,People,12,Male,40-59 years,Killed Or Seriously Injured
S12000040,2010,Count,People,15,Male,20-39 years,Killed Or Seriously Injured
S08000032,2008,Count,People,50,Male,20-39 years,Killed Or Seriously Injured
S08000032,2008,Count,People,42,Male,0-19 years,Killed Or Seriously Injured
S12000021,1999,Count,People,13,Male,40-59 years,Killed Or Seriously Injured
S12000042,2003,Count,People,10,Male,40-59 years,Killed Or Seriously Injured
S08000031,2008,Count,People,86,Male,40-59 years,Killed Or Seriously Injured
S08000032,2008,Count,People,30,Male,40-59 years,Killed Or Seriously Injured
S12000045,2003,Count,People,11,Male,20-39 years,Killed Or Seriously Injured
S12000045,2003,Count,People,8,Male,0-19 years,Killed Or Seriously Injured
S12000021,1999,Count,People,22,Male,0-19 years,Killed Or Seriously Injured
S12000042,2003,Count,People,13,Male,0-19 years,Killed Or Seriously Injured
S12000021,1999,Count,People,29,Male,20-39 years,Killed Or Seriously Injured
S12000042,2003,Count,People,15,Male,20-39 years,Killed Or Seriously Injured
S12000042,2010,Count,People,8,Male,20-39 years,Killed Or Seriously Injured
S12000038,2003,Count,People,20,Male,40-59 years,Killed Or Seriously Injured
S12000005,2016,Count,People,11,Male,All,Killed Or Seriously Injured
S12000042,2010,Count,People,10,Male,0-19 years,Killed Or Seriously Injured
S12000008,2016,Count,People,31,Male,All,Killed Or Seriously Injured
S12000042,2010,Count,People,6,Male,40-59 years,Killed Or Seriously Injured
S08000028,2007,Count,People,8,Male,All,Killed Or Seriously Injured
S12000028,1999,Count,People,23,Male,0-19 years,Killed Or Seriously Injured
S12000039,2003,Count,People,11,Male,0-19 years,Killed Or Seriously Injured
S12000039,2003,Count,People,14,Male,20-39 years,Killed Or Seriously Injured
S12000039,2003,Count,People,5,Male,40-59 years,Killed Or Seriously Injured
S08000016,2009,Count,People,17,Male,20-39 years,Killed Or Seriously Injured
S12000047,1996,Count,People,168,Male,All,Killed Or Seriously Injured
S08000016,2009,Count,People,27,Male,40-59 years,Killed Or Seriously Injured
S12000047,2010,Count,People,83,Male,All,Killed Or Seriously Injured
S08000028,2009,Count,People,1,Male,0-19 years,Killed Or Seriously Injured
S12000047,2009,Count,People,75,Male,All,Killed Or Seriously Injured
S08000015,2009,Count,People,31,Male,40-59 years,Killed Or Seriously Injured
S08000015,2009,Count,People,44,Male,20-39 years,Killed Or Seriously Injured
S08000015,2009,Count,People,23,Male,0-19 years,Killed Or Seriously Injured
S08000017,2009,Count,People,25,Male,40-59 years,Killed Or Seriously Injured
S08000017,2009,Count,People,26,Male,20-39 years,Killed Or Seriously Injured
S08000017,2009,Count,People,26,Male,0-19 years,Killed Or Seriously Injured
S08000029,2009,Count,People,25,Male,40-59 years,Killed Or Seriously Injured
S08000029,2009,Count,People,21,Male,20-39 years,Killed Or Seriously Injured
S12000047,2012,Count,People,69,Male,All,Killed Or Seriously Injured
S08000028,2009,Count,People,3,Male,20-39 years,Killed Or Seriously Injured
S12000047,2013,Count,People,62,Male,All,Killed Or Seriously Injured
S08000028,2009,Count,People,1,Male,40-59 years,Killed Or Seriously Injured
S08000026,2009,Count,People,1,Male,0-19 years,Killed Or Seriously Injured
S12000047,2008,Count,People,87,Male,All,Killed Or Seriously Injured
S12000047,2007,Count,People,117,Male,All,Killed Or Seriously Injured
S08000026,2009,Count,People,1,Male,20-39 years,Killed Or Seriously Injured
S08000029,2009,Count,People,19,Male,0-19 years,Killed Or Seriously Injured
S08000026,2009,Count,People,2,Male,40-59 years,Killed Or Seriously Injured
S08000025,2014,Count,People,5,Male,All,Killed Or Seriously Injured
S08000028,2014,Count,People,9,Male,All,Killed Or Seriously Injured
S08000026,2014,Count,People,20,Male,All,Killed Or Seriously Injured
S08000019,2009,Count,People,36,Male,20-39 years,Killed Or Seriously Injured
S12000047,2006,Count,People,147,Male,All,Killed Or Seriously Injured
S08000019,2009,Count,People,27,Male,40-59 years,Killed Or Seriously Injured
S12000040,1999,Count,People,12,Male,0-19 years,Killed Or Seriously Injured
S12000030,2003,Count,People,11,Male,0-19 years,Killed Or Seriously Injured
S12000040,1999,Count,People,8,Male,40-59 years,Killed Or Seriously Injured
S12000029,2003,Count,People,31,Male,0-19 years,Killed Or Seriously Injured
S12000029,2003,Count,People,28,Male,40-59 years,Killed Or Seriously Injured
S12000041,1999,Count,People,31,Male,0-19 years,Killed Or Seriously Injured
S08000020,2009,Count,People,67,Male,40-59 years,Killed Or Seriously Injured
S08000020,2009,Count,People,109,Male,20-39 years,Killed Or Seriously Injured
S12000023,2003,Count,People,1,Male,40-59 years,Killed Or Seriously Injured
S08000016,2009,Count,People,10,Male,0-19 years,Killed Or Seriously Injured
S12000047,2014,Count,People,55,Male,All,Killed Or Seriously Injured
S12000023,2003,Count,People,5,Male,20-39 years,Killed Or Seriously Injured
S08000019,2009,Count,People,19,Male,0-19 years,Killed Or Seriously Injured
S12000026,2003,Count,People,28,Male,20-39 years,Killed Or Seriously Injured
S12000029,2003,Count,People,54,Male,20-39 years,Killed Or Seriously Injured
S08000022,2009,Count,People,25,Male,0-19 years,Killed Or Seriously Injured
S08000020,2009,Count,People,53,Male,0-19 years,Killed Or Seriously Injured
S12000026,2003,Count,People,12,Male,0-19 years,Killed Or Seriously Injured
S08000024,2016,Count,People,195,Male,All,Killed Or Seriously Injured
S12000011,2010,Count,People,3,Male,20-39 years,Killed Or Seriously Injured
S12000008,2010,Count,People,9,Male,0-19 years,Killed Or Seriously Injured
S12000010,2010,Count,People,5,Male,20-39 years,Killed Or Seriously Injured
S12000010,2010,Count,People,7,Male,0-19 years,Killed Or Seriously Injured
S12000011,2010,Count,People,5,Male,0-19 years,Killed Or Seriously Injured
S12000014,2010,Count,People,8,Male,0-19 years,Killed Or Seriously Injured
S08000026,2016,Count,People,4,Male,All,Killed Or Seriously Injured
S08000028,2016,Count,People,3,Male,All,Killed Or Seriously Injured
S12000026,2003,Count,People,14,Male,40-59 years,Killed Or Seriously Injured
S12000008,2010,Count,People,7,Male,20-39 years,Killed Or Seriously Injured
S12000008,2010,Count,People,10,Male,40-59 years,Killed Or Seriously Injured
S08000024,2010,Count,People,166,Male,All,Killed Or Seriously Injured
S12000023,2010,Count,People,2,Male,0-19 years,Killed Or Seriously Injured
S12000020,2010,Count,People,6,Male,0-19 years,Killed Or Seriously Injured
S08000028,2010,Count,People,6,Male,All,Killed Or Seriously Injured
S12000021,2010,Count,People,7,Male,40-59 years,Killed Or Seriously Injured
S12000021,2010,Count,People,5,Male,0-19 years,Killed Or Seriously Injured
S12000010,2010,Count,People,4,Male,40-59 years,Killed Or Seriously Injured
S12000020,2010,Count,People,7,Male,40-59 years,Killed Or Seriously Injured
S08000022,2016,Count,People,115,Male,All,Killed Or Seriously Injured
S08000025,2016,Count,People,6,Male,All,Killed Or Seriously Injured
S08000025,2010,Count,People,3,Male,All,Killed Or Seriously Injured
S12000020,2010,Count,People,11,Male,20-39 years,Killed Or Seriously Injured
S08000025,2009,Count,People,0,Male,40-59 years,Killed Or Seriously Injured
S08000025,2009,Count,People,1,Male,20-39 years,Killed Or Seriously Injured
S08000019,2016,Count,People,69,Male,All,Killed Or Seriously Injured
S08000020,2016,Count,People,180,Male,All,Killed Or Seriously Injured
S08000025,2009,Count,People,0,Male,0-19 years,Killed Or Seriously Injured
S08000017,2016,Count,People,45,Male,All,Killed Or Seriously Injured
S08000024,2009,Count,People,40,Male,0-19 years,Killed Or Seriously Injured
S08000024,2009,Count,People,50,Male,40-59 years,Killed Or Seriously Injured
S12000047,2011,Count,People,65,Male,All,Killed Or Seriously Injured
S08000022,2009,Count,People,49,Male,40-59 years,Killed Or Seriously Injured
S08000022,2009,Count,People,54,Male,20-39 years,Killed Or Seriously Injured
S08000024,2009,Count,People,83,Male,20-39 years,Killed Or Seriously Injured
S12000027,2003,Count,People,1,Male,40-59 years,Killed Or Seriously Injured
S12000014,2010,Count,People,9,Male,40-59 years,Killed Or Seriously Injured
S12000011,2010,Count,People,8,Male,40-59 years,Killed Or Seriously Injured
S08000016,2016,Count,People,53,Male,All,Killed Or Seriously Injured
S08000015,2016,Count,People,94,Male,All,Killed Or Seriously Injured
S12000014,2010,Count,People,9,Male,20-39 years,Killed Or Seriously Injured
S12000013,2010,Count,People,2,Male,0-19 years,Killed Or Seriously Injured
S12000013,2010,Count,People,0,Male,40-59 years,Killed Or Seriously Injured
S12000027,2003,Count,People,4,Male,20-39 years,Killed Or Seriously Injured
S12000027,2003,Count,People,1,Male,0-19 years,Killed Or Seriously Injured
S12000013,2010,Count,People,4,Male,20-39 years,Killed Or Seriously Injured
S12000045,1999,Count,People,16,Male,20-39 years,Killed Or Seriously Injured
S12000045,1999,Count,People,7,Male,40-59 years,Killed Or Seriously Injured
S08000017,2015,Count,People,48,Male,All,Killed Or Seriously Injured
S08000022,2015,Count,People,91,Male,All,Killed Or Seriously Injured
S08000020,2015,Count,People,189,Male,All,Killed Or Seriously Injured
S12000050,1999,Count,People,49,Male,0-19 years,Killed Or Seriously Injured
S12000048,1999,Count,People,29,Male,0-19 years,Killed Or Seriously Injured
S12000045,1999,Count,People,16,Male,0-19 years,Killed Or Seriously Injured
S12000030,2016,Count,People,23,Male,All,Killed Or Seriously Injured
S12000033,2016,Count,People,46,Male,All,Killed Or Seriously Injured
S08000019,2015,Count,People,80,Male,All,Killed Or Seriously Injured
S12000034,2016,Count,People,100,Male,All,Killed Or Seriously Injured
S08000016,2010,Count,People,7,Male,0-19 years,Killed Or Seriously Injured
S08000016,2015,Count,People,45,Male,All,Killed Or Seriously Injured
S12000028,2003,Count,People,18,Male,40-59 years,Killed Or Seriously Injured
S08000016,2010,Count,People,20,Male,20-39 years,Killed Or Seriously Injured
S08000019,2010,Count,People,20,Male,0-19 years,Killed Or Seriously Injured
S08000016,2010,Count,People,27,Male,40-59 years,Killed Or Seriously Injured
S12000050,1999,Count,People,52,Male,20-39 years,Killed Or Seriously Injured
S12000050,1999,Count,People,27,Male,40-59 years,Killed Or Seriously Injured
S12000048,2003,Count,People,39,Male,20-39 years,Killed Or Seriously Injured
S12000048,2003,Count,People,24,Male,0-19 years,Killed Or Seriously Injured
S08000017,2010,Count,People,7,Male,0-19 years,Killed Or Seriously Injured
S08000015,2015,Count,People,93,Male,All,Killed Or Seriously Injured
S08000028,2010,Count,People,1,Male,0-19 years,Killed Or Seriously Injured
S12000036,2016,Count,People,113,Male,All,Killed Or Seriously Injured
S08000028,2010,Count,People,4,Male,20-39 years,Killed Or Seriously Injured
S08000030,2010,Count,People,24,Male,0-19 years,Killed Or Seriously Injured
S08000029,2010,Count,People,34,Male,20-39 years,Killed Or Seriously Injured
S08000030,2010,Count,People,45,Male,20-39 years,Killed Or Seriously Injured
S08000032,2010,Count,People,34,Male,20-39 years,Killed Or Seriously Injured
S08000032,2010,Count,People,29,Male,0-19 years,Killed Or Seriously Injured
S12000021,2016,Count,People,28,Male,All,Killed Or Seriously Injured
S08000028,2010,Count,People,0,Male,40-59 years,Killed Or Seriously Injured
S12000023,2016,Count,People,6,Male,All,Killed Or Seriously Injured
S12000020,2016,Count,People,33,Male,All,Killed Or Seriously Injured
S12000027,1999,Count,People,1,Male,40-59 years,Killed Or Seriously Injured
S12000027,1999,Count,People,3,Male,0-19 years,Killed Or Seriously Injured
S12000027,1999,Count,People,9,Male,20-39 years,Killed Or Seriously Injured
S12000047,1999,Count,People,19,Male,40-59 years,Killed Or Seriously Injured
S12000047,1999,Count,People,38,Male,0-19 years,Killed Or Seriously Injured
S12000047,1999,Count,People,53,Male,20-39 years,Killed Or Seriously Injured
S12000035,2016,Count,People,53,Male,All,Killed Or Seriously Injured
S08000029,2010,Count,People,19,Male,40-59 years,Killed Or Seriously Injured
S08000029,2010,Count,People,19,Male,0-19 years,Killed Or Seriously Injured
S12000026,1999,Count,People,33,Male,20-39 years,Killed Or Seriously Injured
S12000026,1999,Count,People,21,Male,40-59 years,Killed Or Seriously Injured
S12000038,2016,Count,People,33,Male,All,Killed Or Seriously Injured
S08000030,2009,Count,People,37,Male,0-19 years,Killed Or Seriously Injured
S08000016,2014,Count,People,46,Male,All,Killed Or Seriously Injured
S08000024,2014,Count,People,181,Male,All,Killed Or Seriously Injured
S08000015,2014,Count,People,91,Male,All,Killed Or Seriously Injured
S08000031,2009,Count,People,83,Male,0-19 years,Killed Or Seriously Injured
S08000032,2009,Count,People,47,Male,0-19 years,Killed Or Seriously Injured
S12000036,1999,Count,People,23,Male,40-59 years,Killed Or Seriously Injured
S12000038,1999,Count,People,24,Male,20-39 years,Killed Or Seriously Injured
S12000036,1999,Count,People,72,Male,20-39 years,Killed Or Seriously Injured
S08000030,2009,Count,People,60,Male,20-39 years,Killed Or Seriously Injured
S08000020,2014,Count,People,232,Male,All,Killed Or Seriously Injured
S08000030,2009,Count,People,38,Male,40-59 years,Killed Or Seriously Injured
S12000041,1999,Count,People,22,Male,40-59 years,Killed Or Seriously Injured
S12000042,1999,Count,People,25,Male,20-39 years,Killed Or Seriously Injured
S12000041,1999,Count,People,35,Male,20-39 years,Killed Or Seriously Injured
S12000042,1999,Count,People,24,Male,0-19 years,Killed Or Seriously Injured
S12000040,1999,Count,People,33,Male,20-39 years,Killed Or Seriously Injured
S12000042,1999,Count,People,12,Male,40-59 years,Killed Or Seriously Injured
S08000031,2009,Count,People,105,Male,20-39 years,Killed Or Seriously Injured
S12000038,1999,Count,People,19,Male,40-59 years,Killed Or Seriously Injured
S08000031,2009,Count,People,62,Male,40-59 years,Killed Or Seriously Injured
S08000019,2014,Count,People,82,Male,All,Killed Or Seriously Injured
S08000017,2014,Count,People,56,Male,All,Killed Or Seriously Injured
S12000038,1999,Count,People,25,Male,0-19 years,Killed Or Seriously Injured
S12000049,1999,Count,People,57,Male,40-59 years,Killed Or Seriously Injured
S12000049,1999,Count,People,118,Male,0-19 years,Killed Or Seriously Injured
S12000049,1999,Count,People,100,Male,20-39 years,Killed Or Seriously Injured
S08000015,2010,Count,People,28,Male,20-39 years,Killed Or Seriously Injured
S12000028,2003,Count,People,21,Male,20-39 years,Killed Or Seriously Injured
S08000015,2010,Count,People,30,Male,40-59 years,Killed Or Seriously Injured
S08000019,2010,Count,People,33,Male,20-39 years,Killed Or Seriously Injured
S08000017,2010,Count,People,15,Male,40-59 years,Killed Or Seriously Injured
S08000019,2010,Count,People,25,Male,40-59 years,Killed Or Seriously Injured
S12000048,1999,Count,People,69,Male,20-39 years,Killed Or Seriously Injured
S12000048,1999,Count,People,29,Male,40-59 years,Killed Or Seriously Injured
S08000017,2010,Count,People,13,Male,20-39 years,Killed Or Seriously Injured
S08000028,2015,Count,People,3,Male,All,Killed Or Seriously Injured
S08000026,2015,Count,People,3,Male,All,Killed Or Seriously Injured
S08000032,2009,Count,People,52,Male,20-39 years,Killed Or Seriously Injured
S12000039,1999,Count,People,8,Male,40-59 years,Killed Or Seriously Injured
S08000022,2014,Count,People,103,Male,All,Killed Or Seriously Injured
S12000039,1999,Count,People,21,Male,20-39 years,Killed Or Seriously Injured
S12000039,1999,Count,People,14,Male,0-19 years,Killed Or Seriously Injured
S08000015,2010,Count,People,21,Male,0-19 years,Killed Or Seriously Injured
S12000028,2003,Count,People,16,Male,0-19 years,Killed Or Seriously Injured
S08000032,2009,Count,People,33,Male,40-59 years,Killed Or Seriously Injured
S08000024,2015,Count,People,184,Male,All,Killed Or Seriously Injured
S12000010,2009,Count,People,11,Male,20-39 years,Killed Or Seriously Injured
S12000010,2009,Count,People,10,Male,0-19 years,Killed Or Seriously Injured
S12000050,2013,Count,People,52,Male,All,Killed Or Seriously Injured
S12000008,2009,Count,People,2,Male,0-19 years,Killed Or Seriously Injured
S12000050,2014,Count,People,58,Male,All,Killed Or Seriously Injured
S12000008,2009,Count,People,12,Male,20-39 years,Killed Or Seriously Injured
S12000040,2004,Count,People,11,Male,0-19 years,Killed Or Seriously Injured
S12000041,2004,Count,People,23,Male,40-59 years,Killed Or Seriously Injured
S12000028,2009,Count,People,16,Male,20-39 years,Killed Or Seriously Injured
S12000006,2009,Count,People,24,Male,40-59 years,Killed Or Seriously Injured
S12000006,2009,Count,People,26,Male,20-39 years,Killed Or Seriously Injured
S12000006,2009,Count,People,26,Male,0-19 years,Killed Or Seriously Injured
S12000005,2009,Count,People,5,Male,20-39 years,Killed Or Seriously Injured
S12000050,2006,Count,People,73,Male,All,Killed Or Seriously Injured
S12000005,2009,Count,People,3,Male,40-59 years,Killed Or Seriously Injured
S12000010,1998,Count,People,4,Male,40-59 years,Killed Or Seriously Injured
S12000005,2009,Count,People,5,Male,0-19 years,Killed Or Seriously Injured
