FeatureCode,DateCode,Measurement,Units,Value,Gender,Age,Outcome
S08000030,2012,Count,People,28,Male,40-59 years,Killed Or Seriously Injured
S12000014,2004,Count,People,18,Male,20-39 years,Killed Or Seriously Injured
S12000018,2004,Count,People,3,Male,20-39 years,Killed Or Seriously Injured
S12000018,2004,Count,People,6,Male,0-19 years,Killed Or Seriously Injured
S08000030,2012,Count,People,42,Male,20-39 years,Killed Or Seriously Injured
S12000013,2004,Count,People,6,Male,20-39 years,Killed Or Seriously Injured
S12000038,1996,Count,People,7,Male,60 years and over,Killed Or Seriously Injured
S12000013,2004,Count,People,3,Male,40-59 years,Killed Or Seriously Injured
S12000040,1996,Count,People,5,Male,60 years and over,Killed Or Seriously Injured
S12000039,1996,Count,People,5,Male,60 years and over,Killed Or Seriously Injured
S12000036,1996,Count,People,28,Male,60 years and over,Killed Or Seriously Injured
S12000011,2004,Count,People,2,Male,40-59 years,Killed Or Seriously Injured
S08000031,2012,Count,People,70,Male,40-59 years,Killed Or Seriously Injured
S08000031,2012,Count,People,53,Male,0-19 years,Killed Or Seriously Injured
S12000011,2004,Count,People,7,Male,20-39 years,Killed Or Seriously Injured
S12000010,2004,Count,People,11,Male,40-59 years,Killed Or Seriously Injured
S08000031,2012,Count,People,83,Male,20-39 years,Killed Or Seriously Injured
S08000025,2012,Count,People,0,Male,20-39 years,Killed Or Seriously Injured
S12000023,2004,Count,People,1,Male,0-19 years,Killed Or Seriously Injured
S08000025,2012,Count,People,4,Male,40-59 years,Killed Or Seriously Injured
S08000025,2012,Count,People,1,Male,0-19 years,Killed Or Seriously Injured
S12000013,2013,Count,People,1,Male,0-19 years,Killed Or Seriously Injured
S08000030,2006,Count,People,206,Male,All,Killed Or Seriously Injured
S08000024,2012,Count,People,41,Male,0-19 years,Killed Or Seriously Injured
S08000024,2012,Count,People,56,Male,40-59 years,Killed Or Seriously Injured
S08000030,2010,Count,People,137,Male,All,Killed Or Seriously Injured
S08000022,2012,Count,People,49,Male,40-59 years,Killed Or Seriously Injured
S08000022,2012,Count,People,37,Male,20-39 years,Killed Or Seriously Injured
S08000024,2012,Count,People,86,Male,20-39 years,Killed Or Seriously Injured
S12000014,2013,Count,People,8,Male,20-39 years,Killed Or Seriously Injured
S08000030,2014,Count,People,85,Male,All,Killed Or Seriously Injured
S12000014,2013,Count,People,6,Male,40-59 years,Killed Or Seriously Injured
S08000030,2016,Count,People,87,Male,All,Killed Or Seriously Injured
S12000014,2013,Count,People,6,Male,0-19 years,Killed Or Seriously Injured
