area_code,reference_area,area_type,year,sector,energy_type,value,units
S12000026,Scottish Borders,Local Authority,2014,Domestic,Manufactured Fuels,18.633139175,GWh
S12000040,West Lothian,Local Authority,2013,Domestic,Gas,1045.9290138,GWh
S12000026,Scottish Borders,Local Authority,2014,Domestic,Electricity,265.9019071,GWh
S12000026,Scottish Borders,Local Authority,2013,Domestic,Electricity,262.18318572,GWh
S12000026,Scottish Borders,Local Authority,2013,Domestic,Gas,511.66978641,GWh
S12000026,Scottish Borders,Local Authority,2013,Domestic,Coal,41.65858587,GWh
S12000040,West Lothian,Local Authority,2014,Domestic,Bioenergy & Wastes,37.156717971,GWh
S12000045,East Dunbartonshire,Local Authority,2016,Domestic,Coal,2.4376442319,GWh
S12000026,Scottish Borders,Local Authority,2013,Domestic,Petroleum Products,219.21293599,GWh
S12000026,Scottish Borders,Local Authority,2013,Domestic,Manufactured Fuels,21.61109874,GWh
S12000028,South Ayrshire,Local Authority,2014,Domestic,Manufactured Fuels,5.5673925317,GWh
S12000028,South Ayrshire,Local Authority,2014,Domestic,Electricity,218.5994937,GWh
S12000028,South Ayrshire,Local Authority,2014,Domestic,Gas,669.6787,GWh
S12000028,South Ayrshire,Local Authority,2015,Domestic,Bioenergy & Wastes,27.719505369,GWh
S12000028,South Ayrshire,Local Authority,2014,Domestic,Petroleum Products,63.782092303,GWh
S12000028,South Ayrshire,Local Authority,2014,Domestic,Bioenergy & Wastes,24.537186178,GWh
S12000039,West Dunbartonshire,Local Authority,2018,Domestic,Manufactured Fuels,1.4308190011,GWh
S12000039,West Dunbartonshire,Local Authority,2018,Domestic,Petroleum Products,7.6362758637,GWh
S12000039,West Dunbartonshire,Local Authority,2018,Domestic,Gas,492.0974116,GWh
S12000028,South Ayrshire,Local Authority,2014,Domestic,Coal,9.7259628699,GWh
S12000028,South Ayrshire,Local Authority,2016,Domestic,Bioenergy & Wastes,29.78650913,GWh
S12000047,Fife,Local Authority,2007,Domestic,Bioenergy & Wastes,40.499864687,GWh
S12000039,West Dunbartonshire,Local Authority,2018,Domestic,Coal,1.4967426443,GWh
S12000039,West Dunbartonshire,Local Authority,2018,Domestic,Bioenergy & Wastes,15.876967317,GWh
S12000028,South Ayrshire,Local Authority,2016,Domestic,Electricity,205.2448669,GWh
S12000028,South Ayrshire,Local Authority,2016,Domestic,Coal,9.7383197565,GWh
S12000028,South Ayrshire,Local Authority,2015,Domestic,Electricity,217.3966243,GWh
S12000028,South Ayrshire,Local Authority,2015,Domestic,Coal,9.7914800678,GWh
S12000039,West Dunbartonshire,Local Authority,2018,Domestic,Electricity,135.1635772,GWh
S12000028,South Ayrshire,Local Authority,2015,Domestic,Manufactured Fuels,5.3461935254,GWh
S12000028,South Ayrshire,Local Authority,2015,Domestic,Petroleum Products,63.850076015,GWh
S12000028,South Ayrshire,Local Authority,2015,Domestic,Gas,655.0193016,GWh
S12000028,South Ayrshire,Local Authority,2012,Domestic,Bioenergy & Wastes,21.942514721,GWh
S12000047,Fife,Local Authority,2006,Domestic,Gas,2877.1457,GWh
S12000040,West Lothian,Local Authority,2005,Domestic,Coal,11.506767404,GWh
S12000040,West Lothian,Local Authority,2005,Domestic,Bioenergy & Wastes,17.03815363,GWh
S12000028,South Ayrshire,Local Authority,2012,Domestic,Electricity,222.41991705,GWh
