area_code,reference_area,area_type,year,business_demography,measure_type,value,units
S12000019,Midlothian,Local Authority,2007,De-Registrations,Count,165,De-Registrations
S12000023,Orkney Islands,Local Authority,2007,De-Registrations,Count,55,De-Registrations
S12000048,Perth and Kinross,Local Authority,2007,De-Registrations,Count,405,De-Registrations
S12000021,North Ayrshire,Local Authority,2007,De-Registrations,Count,255,De-Registrations
S12000010,East Lothian,Local Authority,2007,De-Registrations,Count,205,De-Registrations
S12000011,East Renfrewshire,Local Authority,2007,De-Registrations,Count,220,De-Registrations
S12000008,East Ayrshire,Local Authority,2007,De-Registrations,Count,225,De-Registrations
S12000045,East Dunbartonshire,Local Authority,2007,De-Registrations,Count,210,De-Registrations
S12000047,Fife,Local Authority,2007,De-Registrations,Count,685,De-Registrations
S12000017,Highland,Local Authority,2007,De-Registrations,Count,590,De-Registrations
S12000014,Falkirk,Local Authority,2007,De-Registrations,Count,270,De-Registrations
S12000036,City of Edinburgh,Local Authority,2006,De-Registrations,Count,1440,De-Registrations
S12000005,Clackmannanshire,Local Authority,2006,De-Registrations,Count,115,De-Registrations
S12000041,Angus,Local Authority,2006,De-Registrations,Count,235,De-Registrations
S12000035,Argyll and Bute,Local Authority,2006,De-Registrations,Count,235,De-Registrations
S12000008,East Ayrshire,Local Authority,2006,De-Registrations,Count,240,De-Registrations
S12000045,East Dunbartonshire,Local Authority,2006,De-Registrations,Count,210,De-Registrations
S12000006,Dumfries and Galloway,Local Authority,2006,De-Registrations,Count,370,De-Registrations
S12000042,Dundee City,Local Authority,2006,De-Registrations,Count,305,De-Registrations
S12000039,West Dunbartonshire,Local Authority,2005,De-Registrations,Count,135,De-Registrations
S12000040,West Lothian,Local Authority,2005,De-Registrations,Count,410,De-Registrations
S12000029,South Lanarkshire,Local Authority,2005,De-Registrations,Count,735,De-Registrations
S12000030,Stirling,Local Authority,2005,De-Registrations,Count,315,De-Registrations
S12000033,Aberdeen City,Local Authority,2006,De-Registrations,Count,735,De-Registrations
S12000034,Aberdeenshire,Local Authority,2006,De-Registrations,Count,630,De-Registrations
S12000021,North Ayrshire,Local Authority,2006,De-Registrations,Count,265,De-Registrations
S12000023,Orkney Islands,Local Authority,2006,De-Registrations,Count,65,De-Registrations
S12000020,Moray,Local Authority,2006,De-Registrations,Count,170,De-Registrations
S12000013,Na h-Eileanan Siar,Local Authority,2006,De-Registrations,Count,70,De-Registrations
S12000038,Renfrewshire,Local Authority,2006,De-Registrations,Count,390,De-Registrations
S12000026,Scottish Borders,Local Authority,2006,De-Registrations,Count,300,De-Registrations
S12000048,Perth and Kinross,Local Authority,2006,De-Registrations,Count,415,De-Registrations
S12000014,Falkirk,Local Authority,2006,De-Registrations,Count,280,De-Registrations
S12000047,Fife,Local Authority,2006,De-Registrations,Count,720,De-Registrations
S12000010,East Lothian,Local Authority,2006,De-Registrations,Count,205,De-Registrations
S12000011,East Renfrewshire,Local Authority,2006,De-Registrations,Count,190,De-Registrations
S12000018,Inverclyde,Local Authority,2006,De-Registrations,Count,115,De-Registrations
S12000019,Midlothian,Local Authority,2006,De-Registrations,Count,160,De-Registrations
S12000017,Highland,Local Authority,2006,De-Registrations,Count,610,De-Registrations
S12000040,West Lothian,Local Authority,2008,De-Registrations,Count,390,De-Registrations
S12000030,Stirling,Local Authority,2008,De-Registrations,Count,285,De-Registrations
S12000039,West Dunbartonshire,Local Authority,2008,De-Registrations,Count,130,De-Registrations
S12000041,Angus,Local Authority,2009,De-Registrations,Count,275,De-Registrations
S12000035,Argyll and Bute,Local Authority,2009,De-Registrations,Count,295,De-Registrations
S12000033,Aberdeen City,Local Authority,2009,De-Registrations,Count,735,De-Registrations
S12000034,Aberdeenshire,Local Authority,2009,De-Registrations,Count,785,De-Registrations
S12000038,Renfrewshire,Local Authority,2008,De-Registrations,Count,360,De-Registrations
S12000026,Scottish Borders,Local Authority,2008,De-Registrations,Count,335,De-Registrations
S12000023,Orkney Islands,Local Authority,2008,De-Registrations,Count,55,De-Registrations
S12000048,Perth and Kinross,Local Authority,2008,De-Registrations,Count,400,De-Registrations
S12000028,South Ayrshire,Local Authority,2008,De-Registrations,Count,295,De-Registrations
S12000029,South Lanarkshire,Local Authority,2008,De-Registrations,Count,690,De-Registrations
S12000027,Shetland Islands,Local Authority,2008,De-Registrations,Count,50,De-Registrations
