area_code,reference_area,area_type,year,value,units
S12000013,Na h-Eileanan Siar,Local Authority,2017,7644,Expenditure
S12000014,Falkirk,Local Authority,2006,11110,Expenditure
S12000014,Falkirk,Local Authority,2017,9294,Expenditure
S12000014,Falkirk,Local Authority,2010,12982,Expenditure
S12000014,Falkirk,Local Authority,2007,10498,Expenditure
S12000014,Falkirk,Local Authority,2015,11154,Expenditure
S12000014,Falkirk,Local Authority,2014,11602,Expenditure
S12000014,Falkirk,Local Authority,2005,12049,Expenditure
S12000014,Falkirk,Local Authority,2008,11079,Expenditure
S12000014,Falkirk,Local Authority,2018,8873,Expenditure
S12000014,Falkirk,Local Authority,2012,13364,Expenditure
S12000014,Falkirk,Local Authority,2009,11971,Expenditure
S12000014,Falkirk,Local Authority,2011,12307,Expenditure
S12000014,Falkirk,Local Authority,2016,10824,Expenditure
S12000017,Highland,Local Authority,2010,32340,Expenditure
S12000017,Highland,Local Authority,2009,32487,Expenditure
S12000017,Highland,Local Authority,2007,26775,Expenditure
S12000017,Highland,Local Authority,2012,35322,Expenditure
S12000017,Highland,Local Authority,2005,29490,Expenditure
S12000017,Highland,Local Authority,2014,29097,Expenditure
S12000017,Highland,Local Authority,2017,26623,Expenditure
S12000017,Highland,Local Authority,2018,33514,Expenditure
S12000017,Highland,Local Authority,2008,31808,Expenditure
S12000017,Highland,Local Authority,2006,23810,Expenditure
S12000017,Highland,Local Authority,2015,27589,Expenditure
S12000017,Highland,Local Authority,2016,26577,Expenditure
S12000017,Highland,Local Authority,2011,31944,Expenditure
S12000018,Inverclyde,Local Authority,2018,4777,Expenditure
S12000018,Inverclyde,Local Authority,2016,4920,Expenditure
S12000018,Inverclyde,Local Authority,2011,4589,Expenditure
S12000018,Inverclyde,Local Authority,2012,6242,Expenditure
S12000018,Inverclyde,Local Authority,2006,4649,Expenditure
S12000018,Inverclyde,Local Authority,2008,4698,Expenditure
S12000018,Inverclyde,Local Authority,2017,5262,Expenditure
S12000018,Inverclyde,Local Authority,2005,8104,Expenditure
S12000018,Inverclyde,Local Authority,2014,9543,Expenditure
S12000018,Inverclyde,Local Authority,2009,4754,Expenditure
S12000018,Inverclyde,Local Authority,2010,6150,Expenditure
S12000018,Inverclyde,Local Authority,2007,4113,Expenditure
S12000018,Inverclyde,Local Authority,2015,9247,Expenditure
S12000019,Midlothian,Local Authority,2014,6160,Expenditure
S12000019,Midlothian,Local Authority,2012,8531,Expenditure
S12000019,Midlothian,Local Authority,2015,3627,Expenditure
S12000019,Midlothian,Local Authority,2018,5595,Expenditure
S12000019,Midlothian,Local Authority,2010,9895,Expenditure
S12000019,Midlothian,Local Authority,2005,7756,Expenditure
S12000019,Midlothian,Local Authority,2011,8053,Expenditure
S12000019,Midlothian,Local Authority,2009,8181,Expenditure
S12000019,Midlothian,Local Authority,2008,8431,Expenditure
S12000019,Midlothian,Local Authority,2006,7168,Expenditure
S12000019,Midlothian,Local Authority,2007,5841,Expenditure
S12000019,Midlothian,Local Authority,2017,6338,Expenditure
S12000019,Midlothian,Local Authority,2016,6102,Expenditure
S12000020,Moray,Local Authority,2006,8376,Expenditure
S12000020,Moray,Local Authority,2015,6150,Expenditure
S12000020,Moray,Local Authority,2014,6185,Expenditure
S12000020,Moray,Local Authority,2008,8984,Expenditure
S12000020,Moray,Local Authority,2012,8182,Expenditure
