area_code,reference_area,area_type,year,gender,working_pattern,population_group,measure_type,value,units
S12000042,Dundee City,Local Authority,2005,All,All Patterns,Residence Based,Mean,359.8,Pounds (GBP)
S12000020,Moray,Local Authority,2006,All,All Patterns,Residence Based,Median,290.8,Pounds (GBP)
S12000023,Orkney Islands,Local Authority,2003,All,All Patterns,Residence Based,Mean,302.9,Pounds (GBP)
S12000020,Moray,Local Authority,2000,All,Part Time,Workplace Based,Median,85.5,Pounds (GBP)
S12000017,Highland,Local Authority,2000,All,Part Time,Workplace Based,Median,119.1,Pounds (GBP)
S12000045,East Dunbartonshire,Local Authority,2010,All,All Patterns,Residence Based,Median,465.4,Pounds (GBP)
S12000042,Dundee City,Local Authority,2003,All,All Patterns,Residence Based,Median,288.2,Pounds (GBP)
S12000023,Orkney Islands,Local Authority,2002,All,All Patterns,Workplace Based,Mean,311.9,Pounds (GBP)
S12000036,City of Edinburgh,Local Authority,2000,All,Part Time,Workplace Based,Median,105.7,Pounds (GBP)
S12000033,Aberdeen City,Local Authority,2009,All,All Patterns,Residence Based,Mean,492.8,Pounds (GBP)
S12000020,Moray,Local Authority,2004,All,All Patterns,Residence Based,Median,280.4,Pounds (GBP)
S12000006,Dumfries and Galloway,Local Authority,2000,All,Part Time,Workplace Based,Median,98.7,Pounds (GBP)
S12000042,Dundee City,Local Authority,2000,All,Part Time,Workplace Based,Mean,141.6,Pounds (GBP)
S12000006,Dumfries and Galloway,Local Authority,2000,All,Part Time,Workplace Based,Mean,113.7,Pounds (GBP)
S12000014,Falkirk,Local Authority,2009,All,All Patterns,Residence Based,Median,408.6,Pounds (GBP)
S12000011,East Renfrewshire,Local Authority,2009,All,All Patterns,Residence Based,Median,429.4,Pounds (GBP)
S12000010,East Lothian,Local Authority,2009,All,All Patterns,Residence Based,Mean,473.1,Pounds (GBP)
S12000008,East Ayrshire,Local Authority,2003,All,Part Time,Residence Based,Mean,133.9,Pounds (GBP)
S12000029,South Lanarkshire,Local Authority,2002,All,All Patterns,Workplace Based,Median,306.3,Pounds (GBP)
S12000047,Fife,Local Authority,2005,All,Part Time,Residence Based,Mean,151.4,Pounds (GBP)
S12000011,East Renfrewshire,Local Authority,2005,All,Part Time,Residence Based,Median,132.2,Pounds (GBP)
S12000028,South Ayrshire,Local Authority,2004,All,All Patterns,Residence Based,Median,359.3,Pounds (GBP)
S12000036,City of Edinburgh,Local Authority,2001,All,Part Time,Workplace Based,Median,115,Pounds (GBP)
S12000005,Clackmannanshire,Local Authority,2000,All,Part Time,Workplace Based,Median,115.3,Pounds (GBP)
S12000008,East Ayrshire,Local Authority,2003,All,Part Time,Residence Based,Median,111.7,Pounds (GBP)
S12000036,City of Edinburgh,Local Authority,2010,All,All Patterns,Residence Based,Mean,515.2,Pounds (GBP)
S12000035,Argyll and Bute,Local Authority,2001,All,Part Time,Workplace Based,Mean,112.6,Pounds (GBP)
S12000035,Argyll and Bute,Local Authority,2003,All,All Patterns,Residence Based,Mean,351.4,Pounds (GBP)
S12000047,Fife,Local Authority,2005,All,Part Time,Residence Based,Median,125.5,Pounds (GBP)
S12000035,Argyll and Bute,Local Authority,2003,All,All Patterns,Residence Based,Median,288.9,Pounds (GBP)
S12000027,Shetland Islands,Local Authority,2009,All,All Patterns,Residence Based,Median,396.7,Pounds (GBP)
S12000017,Highland,Local Authority,2001,All,Part Time,Workplace Based,Mean,134.2,Pounds (GBP)
S12000034,Aberdeenshire,Local Authority,2008,All,All Patterns,Residence Based,Median,398.2,Pounds (GBP)
S12000014,Falkirk,Local Authority,2002,All,Part Time,Workplace Based,Mean,140.7,Pounds (GBP)
S12000040,West Lothian,Local Authority,2001,All,Part Time,Workplace Based,Mean,151.9,Pounds (GBP)
S12000047,Fife,Local Authority,2001,All,Part Time,Workplace Based,Median,110,Pounds (GBP)
S12000047,Fife,Local Authority,2001,All,Part Time,Workplace Based,Mean,129.1,Pounds (GBP)
S12000017,Highland,Local Authority,2001,All,Part Time,Workplace Based,Median,110.1,Pounds (GBP)
S12000027,Shetland Islands,Local Authority,1999,All,Part Time,Workplace Based,Median,70.2,Pounds (GBP)
S12000040,West Lothian,Local Authority,2003,All,Part Time,Residence Based,Median,132.1,Pounds (GBP)
S12000038,Renfrewshire,Local Authority,2002,All,All Patterns,Workplace Based,Mean,379.3,Pounds (GBP)
S12000033,Aberdeen City,Local Authority,2002,All,Part Time,Workplace Based,Median,137.6,Pounds (GBP)
S12000006,Dumfries and Galloway,Local Authority,2006,All,All Patterns,Residence Based,Mean,381.4,Pounds (GBP)
S12000014,Falkirk,Local Authority,2001,All,Part Time,Workplace Based,Median,109.2,Pounds (GBP)
S12000005,Clackmannanshire,Local Authority,2008,All,All Patterns,Residence Based,Mean,418.6,Pounds (GBP)
S12000033,Aberdeen City,Local Authority,2008,All,All Patterns,Residence Based,Mean,464,Pounds (GBP)
S12000039,West Dunbartonshire,Local Authority,2001,All,Part Time,Workplace Based,Mean,150.3,Pounds (GBP)
S12000028,South Ayrshire,Local Authority,1999,All,Part Time,Workplace Based,Mean,108.9,Pounds (GBP)
S12000040,West Lothian,Local Authority,2001,All,Part Time,Workplace Based,Median,130,Pounds (GBP)
S12000014,Falkirk,Local Authority,2002,All,Part Time,Workplace Based,Median,112.4,Pounds (GBP)
S12000030,Stirling,Local Authority,1999,All,Part Time,Workplace Based,Mean,131.6,Pounds (GBP)
S12000047,Fife,Local Authority,2002,All,Part Time,Workplace Based,Median,126,Pounds (GBP)
S12000033,Aberdeen City,Local Authority,2000,All,Part Time,Workplace Based,Median,108.2,Pounds (GBP)
S12000026,Scottish Borders,Local Authority,1999,All,Part Time,Workplace Based,Mean,130.9,Pounds (GBP)
S12000036,City of Edinburgh,Local Authority,2008,All,All Patterns,Residence Based,Median,418.4,Pounds (GBP)
S12000048,Perth and Kinross,Local Authority,1999,All,All Patterns,Workplace Based,Mean,275,Pounds (GBP)
S12000040,West Lothian,Local Authority,1999,All,Part Time,Workplace Based,Median,100.6,Pounds (GBP)
S12000047,Fife,Local Authority,2002,All,All Patterns,Residence Based,Median,291.8,Pounds (GBP)
S12000033,Aberdeen City,Local Authority,2000,All,Part Time,Workplace Based,Mean,136.2,Pounds (GBP)
S12000042,Dundee City,Local Authority,2000,All,Part Time,Workplace Based,Median,111.5,Pounds (GBP)
S12000040,West Lothian,Local Authority,1999,All,Part Time,Workplace Based,Mean,128,Pounds (GBP)
S12000048,Perth and Kinross,Local Authority,2009,All,All Patterns,Residence Based,Mean,442.7,Pounds (GBP)
S12000027,Shetland Islands,Local Authority,2009,All,All Patterns,Residence Based,Mean,466.1,Pounds (GBP)
S12000041,Angus,Local Authority,2000,All,Part Time,Workplace Based,Median,114.3,Pounds (GBP)
S12000036,City of Edinburgh,Local Authority,2008,All,All Patterns,Residence Based,Mean,501.1,Pounds (GBP)
S12000047,Fife,Local Authority,2002,All,Part Time,Workplace Based,Mean,141.7,Pounds (GBP)
S12000006,Dumfries and Galloway,Local Authority,2003,All,Part Time,Residence Based,Median,106.3,Pounds (GBP)
S12000041,Angus,Local Authority,2000,All,Part Time,Workplace Based,Mean,133.4,Pounds (GBP)
S12000027,Shetland Islands,Local Authority,2002,All,All Patterns,Workplace Based,Mean,326.4,Pounds (GBP)
S12000041,Angus,Local Authority,2008,All,All Patterns,Residence Based,Mean,426.2,Pounds (GBP)
S12000048,Perth and Kinross,Local Authority,2009,All,All Patterns,Residence Based,Median,375.9,Pounds (GBP)
S12000034,Aberdeenshire,Local Authority,2000,All,Part Time,Workplace Based,Mean,126.3,Pounds (GBP)
S12000011,East Renfrewshire,Local Authority,2009,All,All Patterns,Residence Based,Mean,538.3,Pounds (GBP)
S12000018,Inverclyde,Local Authority,2000,All,Part Time,Workplace Based,Median,100.6,Pounds (GBP)
S12000008,East Ayrshire,Local Authority,2005,All,Part Time,Workplace Based,Mean,136.5,Pounds (GBP)
S12000020,Moray,Local Authority,2000,All,Part Time,Workplace Based,Mean,106.1,Pounds (GBP)
S12000018,Inverclyde,Local Authority,2000,All,Part Time,Workplace Based,Mean,129.7,Pounds (GBP)
S12000050,North Lanarkshire,Local Authority,2007,All,Part Time,Residence Based,Median,155.2,Pounds (GBP)
S12000045,East Dunbartonshire,Local Authority,1999,All,Part Time,Workplace Based,Mean,121.9,Pounds (GBP)
S12000034,Aberdeenshire,Local Authority,2004,All,Part Time,Residence Based,Mean,154.1,Pounds (GBP)
S12000045,East Dunbartonshire,Local Authority,1999,All,Part Time,Workplace Based,Median,110,Pounds (GBP)
S12000010,East Lothian,Local Authority,1999,All,All Patterns,Workplace Based,Median,282.6,Pounds (GBP)
S12000028,South Ayrshire,Local Authority,2002,All,All Patterns,Workplace Based,Mean,355.7,Pounds (GBP)
S12000036,City of Edinburgh,Local Authority,2000,All,All Patterns,Workplace Based,Mean,358,Pounds (GBP)
S12000050,North Lanarkshire,Local Authority,2006,All,Part Time,Residence Based,Mean,171.1,Pounds (GBP)
