FeatureCode,DateCode,Measurement,Units,Value,Business Demography
S12000005,2009,Count,De-Registrations,120,De-Registrations
S12000045,2009,Count,De-Registrations,270,De-Registrations
S12000010,2009,Count,De-Registrations,250,De-Registrations
S12000008,2009,Count,De-Registrations,275,De-Registrations
S12000033,2008,Count,De-Registrations,670,De-Registrations
S12000034,2008,Count,De-Registrations,655,De-Registrations
S12000040,2007,Count,De-Registrations,330,De-Registrations
S92000003,2008,Count,De-Registrations,12995,De-Registrations
S12000036,2008,Count,De-Registrations,1475,De-Registrations
S12000005,2008,Count,De-Registrations,115,De-Registrations
S12000041,2008,Count,De-Registrations,235,De-Registrations
S12000035,2008,Count,De-Registrations,260,De-Registrations
S12000027,2007,Count,De-Registrations,50,De-Registrations
S12000028,2007,Count,De-Registrations,285,De-Registrations
S12000038,2007,Count,De-Registrations,365,De-Registrations
S12000026,2007,Count,De-Registrations,265,De-Registrations
S12000030,2007,Count,De-Registrations,240,De-Registrations
S12000039,2007,Count,De-Registrations,120,De-Registrations
S12000029,2007,Count,De-Registrations,660,De-Registrations
S12000018,2008,Count,De-Registrations,160,De-Registrations
S12000019,2008,Count,De-Registrations,170,De-Registrations
S12000047,2008,Count,De-Registrations,745,De-Registrations
S12000017,2008,Count,De-Registrations,650,De-Registrations
S12000013,2008,Count,De-Registrations,65,De-Registrations
S12000021,2008,Count,De-Registrations,270,De-Registrations
S12000020,2008,Count,De-Registrations,215,De-Registrations
S12000008,2008,Count,De-Registrations,255,De-Registrations
S12000045,2008,Count,De-Registrations,210,De-Registrations
S12000006,2008,Count,De-Registrations,395,De-Registrations
S12000042,2008,Count,De-Registrations,290,De-Registrations
S12000011,2008,Count,De-Registrations,210,De-Registrations
S12000014,2008,Count,De-Registrations,265,De-Registrations
S12000010,2008,Count,De-Registrations,215,De-Registrations
S12000050,2006,Count,De-Registrations,555,De-Registrations
S12000050,2005,Count,De-Registrations,615,De-Registrations
S12000050,2008,Count,De-Registrations,650,De-Registrations
S12000050,2007,Count,De-Registrations,515,De-Registrations
S12000050,2015,Count,Registrations,1200,Registrations
S12000050,2014,Count,Registrations,1120,Registrations
S12000050,2004,Count,De-Registrations,655,De-Registrations
S12000050,2016,Count,Registrations,1270,Registrations
S12000050,2013,Count,De-Registrations,720,De-Registrations
S12000050,2012,Count,De-Registrations,775,De-Registrations
S12000050,2015,Count,De-Registrations,915,De-Registrations
S12000050,2014,Count,De-Registrations,785,De-Registrations
S12000050,2010,Count,De-Registrations,765,De-Registrations
S12000050,2009,Count,De-Registrations,740,De-Registrations
