area_code,reference_area,area_type,reference_period,indicator,value,units
S12000028,South Ayrshire,Local Authority,2008/2009,Waste Arisings (Tonnes),82240,Tonnes
S12000028,South Ayrshire,Local Authority,2006/2007,Waste Arisings (Tonnes),84147,Tonnes
S12000027,Shetland Islands,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),529,Kg Per Capita
S12000027,Shetland Islands,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),630,Kg Per Capita
S12000027,Shetland Islands,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),592,Kg Per Capita
S12000028,South Ayrshire,Local Authority,2011/2012,Waste Arisings (Tonnes),74174,Tonnes
S12000028,South Ayrshire,Local Authority,2010/2011,Waste Arisings (Tonnes),77501,Tonnes
S12000027,Shetland Islands,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),537,Kg Per Capita
S12000045,East Dunbartonshire,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),31,ktonnes
S12000028,South Ayrshire,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),713,Kg Per Capita
S12000045,East Dunbartonshire,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),37.9,ktonnes
S12000028,South Ayrshire,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),754,Kg Per Capita
S12000028,South Ayrshire,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),706,Kg Per Capita
S12000028,South Ayrshire,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),26.3,ktonnes
S12000045,East Dunbartonshire,Local Authority,2004/2005,Waste Arisings (Tonnes),73082,Tonnes
S12000045,East Dunbartonshire,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),593,Kg Per Capita
S12000028,South Ayrshire,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),24.4,ktonnes
S12000045,East Dunbartonshire,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),30.7,ktonnes
S12000045,East Dunbartonshire,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),29.4,ktonnes
S12000028,South Ayrshire,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),26.9,ktonnes
S12000020,Moray,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),751,Kg Per Capita
S12000020,Moray,Local Authority,2005/2006,Waste Arisings (Tonnes),61696,Tonnes
S12000020,Moray,Local Authority,2011/2012,Waste Arisings (Tonnes),60930,Tonnes
S12000020,Moray,Local Authority,2010/2011,Waste Arisings (Tonnes),66659,Tonnes
